COUNTY,YEAR_APPROVED,CWPP
ANGELINA,2021,YES
ARANSAS,2016,YES
ARCHER,2019,YES
ATASCOSA,2019,YES
AUSTIN,2022,YES
BASTROP,2022,YES
BEE,2019,YES
BELL,2020,YES
BEXAR,2019,YES
BLANCO,2022,PENDING
BOWIE,2022,PENDING
BRAZORIA,2015,YES
BRAZOS,2016,YES
BROWN,2022,PENDING
BURNET,2021,YES
CALLAHAN,2014,YES
CHAMBERS,2021,YES
CHEROKEE,2022,PENDING
COLLIN,2013,YES
COMAL,2019,YES
CORYELL,2014,YES
DALLAS,2019,YES
DEAF SMITH,2018,YES
DEWITT,2018,YES
EASTLAND,2013,YES
ECTOR,2016,YES
EL PASO,2021,YES
ELLIS,2019,YES
ERATH,2012,YES
FISHER,2021,YES
FLOYD,2013,YES
FORT BEND,2016,YES
GAINES,2012,YES
GALVESTON,2012,YES
GRAYSON,2014,YES
GREGG,2017,YES
GRIMES,2017,YES
GUADALUPE,2017,YES
HARRIS,2019,YES
HARRISON,2022,YES
HAYS,2019,YES
HENDERSON,2019,YES
HIDALGO,2018,YES
HOOD,2015,YES
HOPKINS,2015,YES
HOWARD,2019,YES
JACK,2018,YES
JEFFERSON,2014,YES
JIM WELLS,2022,YES
JONES,2019,YES
KAUFMAN,2018,YES
KENDALL,2020,YES
LAMPASAS,2014,YES
LEE,2016,YES
LIBERTY,2022,YES
LUBBOCK,2012,YES
MADISON,2013,YES
MARION,2020,YES
MCLENNAN,2015,YES
MEDINA,2016,YES
MIDLAND,2012,YES
MILAM,2016,YES
MONTAGUE,2015,YES
NAVARRO,2015,YES
NUECES,2017,YES
PALO PINTO,2016,YES
PARKER,2015,YES
POLK,2022,YES
POTTER,2016,YES
RANDALL,2014,YES
ROCKWALL,2022,YES
RUSK,2015,YES
SAN JACINTO,2016,YES
SAN PATRICIO,2018,YES
SCURRY,2020,YES
SMITH,2015,YES
SOMERVELL,2021,YES
SWISHER,2014,YES
TARRANT,2019,YES
TAYLOR,2015,YES
THROCKMORTON,2017,YES
TOM GREEN,2015,YES
TRAVIS,2012,YES
UPSHUR,2017,YES
VICTORIA,2014,YES
WALKER,2021,YES
WEBB,2022,PENDING
WHARTON,2015,YES
WICHITA,2018,YES
WILLIAMSON,2014,YES
YOUNG,2016,YES
