CNTYVTD,VTDKEY,AbbottR_18G_Governor,ValdezD_18G_Governor,TippettsL_18G_Governor
"1132503",2383,1298,633,47
"1132504",2384,487,378,26
"1132505",2385,636,710,43
"1132506",2386,904,618,35
"1132507",2387,887,615,49
"1132508",2388,678,1042,49
"1132509",2389,1168,813,42
"1132510",2390,536,532,27
"1132511",2391,662,599,31
"1132512",2392,521,426,16
"1132513",2393,753,903,46
"1132514",2394,895,777,38
"1132515",2395,195,226,10
"1132517",2396,402,922,19
"1132518",2397,681,657,29
"1132519",2398,470,812,28
"1132520",2399,783,1290,46
"1132521",2400,653,757,35
"1132523",2401,398,511,23
"1132601",2402,375,732,15
"1132602",2403,572,1063,27
"1132603",2404,635,1171,40
"1132604",2405,586,1021,43
"1132605",2406,496,957,13
"1132606",2407,456,595,20
"1132607",2408,0,6,0
"1132608",2409,806,745,30
"1132609",2410,0,0,0
"1132610",2411,0,0,0
"1132611",2412,266,541,13
"1132612",2413,312,290,15
"1132613",2414,783,1180,36
"1132614",2415,3,2,0
"1132800",2416,0,0,0
"1132801",2417,1468,757,54
"1132802",2418,1789,1047,64
"1132803",2419,685,252,24
"1132804",2420,981,582,33
"1132805",2421,1613,1070,55
"1132806",2422,995,640,24
"1132807",2423,907,613,30
"1132808",2424,1182,720,31
"1132809",2425,879,824,41
"1132810",2426,13,2,0
"1132900",2427,1128,783,46
"1132901",2428,240,477,25
"1132902",2429,413,704,35
"1132903",2430,568,705,41
"1132904",2431,2,1,0
"1132905",2432,240,105,7
"1132910",2433,14,10,0
"1132911",2434,75,63,2
"1132913",2435,3,2,0
"11329a1",2436,22,46,1
"1133000",2437,1015,1114,59
"1133001",2438,21,166,0
"1133002",2439,51,347,6
"1133003",2440,134,872,12
"1133004",2441,231,982,40
"1133005",2442,101,153,15
"1133006",2443,1104,987,62
"1133007",2444,405,335,23
"1133008",2445,171,380,18
"1133009",2446,0,0,0
"1133010",2447,30,214,3
"1133011",2448,231,474,25
"1133012",2449,16,47,0
"1133013",2450,67,223,6
"1133014",2451,284,490,16
"1133015",2452,50,57,0
"1133016",2453,177,670,31
"1133017",2454,20,277,3
"1133018",2455,49,657,10
"1133019",2456,17,251,3
"1133020",2457,14,104,8
"1133021",2458,17,302,9
"1133022",2459,34,521,7
"1133023",2460,28,474,14
"1133024",2461,31,509,10
"1133025",2462,2,50,3
"1133026",2463,17,270,2
"1133027",2464,24,495,5
"1133028",2465,18,392,15
"1133029",2466,14,292,5
"1133030",2467,3,6,0
"1133031",2468,78,184,6
"1133032",2469,61,457,8
"1133033",2470,12,127,1
"1133034",2471,37,524,17
"1133035",2472,55,470,7
"1133036",2473,3,3,0
"1133037",2474,16,152,4
"1133038",2475,24,368,11
"1133039",2476,65,896,14
"1133040",2477,26,407,4
"1133041",2478,4,37,1
"1133042",2479,27,521,10
"1133043",2480,40,682,9
"1133044",2481,58,845,6
"1133045",2482,18,238,6
"1133046",2483,196,980,33
"1133047",2484,244,494,17
"1133048",2485,63,1054,21
"1133049",2486,58,781,12
"1133050",2487,58,648,9
"1133051",2488,22,305,4
"1133052",2489,57,881,13
"1133053",2490,100,865,19
"1133054",2491,154,1316,30
"1133055",2492,176,1239,38
"1133056",2493,137,1228,30
"1133057",2494,132,1108,18
"1133058",2495,56,1017,19
"1133059",2496,31,642,13
"1133060",2497,46,680,10
"1133061",2498,26,521,8
"1133062",2499,57,888,10
"1133063",2500,142,1487,28
"1133064",2501,83,1188,22
"1133065",2502,60,984,14
"1133066",2503,73,756,12
"1133067",2504,62,856,14
"1133068",2505,142,1538,32
"1133069",2506,41,681,17
"1133070",2507,78,1258,23
"1133071",2508,64,1054,16
"1133072",2509,3,18,0
"1133073",2510,6,62,3
"1133074",2511,40,225,4
"1133075",2512,16,68,1
"1133076",2513,0,0,0
"1133077",2514,457,1362,42
"1133078",2515,221,1031,30
"1133079",2516,89,155,5
"1133080",2517,179,354,5
"1133081",2518,453,530,23
"1133082",2519,88,913,6
"1133083",2520,129,320,15
"1133084",2521,132,561,19
"1133085",2522,50,121,3
"1133086",2523,940,1100,54
"1133087",2524,0,0,0
"1133088",2525,8,24,1
"1133089",2526,6,8,2
"1133090",2527,220,619,33
"1133091",2528,0,0,0
"1133092",2529,64,622,12
"1133093",2530,1,8,0
"1133094",2531,0,0,0
"1133095",2532,351,784,39
"1133096",2533,399,894,44
"1133097",2534,0,76,2
"1133098",2535,6,97,1
"1133099",2536,13,113,1
"11330a4",2537,0,0,0
"11330a6",2538,0,0,0
"11330c4",2539,0,0,0
"11330t4",2540,0,2,0
"11330t6",2541,0,0,0
"1133100",2542,367,953,35
"1133101",2543,152,334,6
"1133102",2544,297,1146,32
"1133103",2545,371,1397,41
"1133104",2546,382,1141,32
"1133105",2547,480,991,32
"1133106",2548,404,1527,44
"1133107",2549,246,1196,34
"1133108",2550,707,681,36
"1133109",2551,1135,1082,41
"1133110",2552,318,1397,26
"1133111",2553,5,19,1
"1133112",2554,4,12,0
"1133113",2555,0,4,0
"1133114",2556,0,0,0
"1133115",2557,324,976,23
"1133116",2558,1,4,0
"1133117",2559,12,33,1
"1133119",2560,0,0,0
"11331a4",2561,0,0,0
"11331a5",2562,0,0,0
"1133200",2563,758,679,27
"1133201",2564,518,526,20
"1133202",2565,365,894,29
"1133203",2566,405,799,22
"1133204",2567,523,817,35
"1133205",2568,139,821,15
"1133206",2569,783,744,16
"1133207",2570,675,818,24
"1133208",2571,335,628,12
"1133209",2572,70,53,1
"1133210",2573,515,627,26
"1133211",2574,165,427,16
"11332a0",2575,0,0,0
"11332a1",2576,0,0,0
"11332c1",2577,0,0,0
"11332t0",2578,0,0,0
"11332t1",2579,0,0,0
"1133304",2580,783,724,28
"1133305",2581,1064,1150,25
"1133306",2582,324,426,22
"1133307",2583,337,547,19
"1133308",2584,400,525,24
"1133309",2585,576,619,12
"1133310",2586,655,608,26
"1133311",2587,621,567,14
"1133312",2588,851,990,29
"1133313",2589,637,1170,42
"1133314",2590,672,1242,28
"1133315",2591,267,409,11
"1133316",2592,689,816,24
"1133317",2593,333,606,12
"1133318",2594,373,520,12
"1133319",2595,14,27,0
"1133321",2596,0,0,0
"1133325",2597,374,699,24
"1133327",2598,0,1,0
"1133328",2599,7,10,0
"1133500",2600,1473,570,36
"1133501",2601,5,1,0
"1133503",2602,545,206,16
"1133504",2603,272,106,6
"1133600",2604,287,980,20
"1133601",2605,346,1002,26
"1133602",2606,108,308,15
"1133603",2607,68,130,3
"1133604",2608,409,1256,30
"1133605",2609,251,1052,29
"1133606",2610,211,1205,36
"1133607",2611,470,2139,41
"1133608",2612,208,1606,31
"1133609",2613,377,1503,38
"1133610",2614,106,211,6
"1133611",2615,226,431,19
"1133612",2616,332,1553,39
"1133613",2617,126,249,6
"1133614",2618,68,410,12
"1133615",2619,214,1215,29
"1133616",2620,60,294,10
"1133617",2621,141,1254,26
"1133618",2622,38,195,0
"1133619",2623,29,70,1
"1133620",2624,101,570,14
"1133621",2625,75,309,8
"1133701",2626,2,0,0
"1133702",2627,0,0,0
"1133800",2628,230,2154,56
"1133801",2629,33,140,0
"1133802",2630,301,1817,37
"1133803",2631,212,1674,44
"1133805",2632,260,2339,65
"1133806",2633,51,466,11
"1133807",2634,229,1075,26
"1133808",2635,749,1411,50
"1133809",2636,40,145,3
"1133900",2637,286,1305,45
"1133920",2638,731,445,23
"1133921",2639,1020,1029,28
"1133922",2640,7,32,0
"1133940",2641,309,611,21
"1133950",2642,229,646,14
"1133951",2643,249,1093,34
"1133952",2644,13,57,2
"1133960",2645,1099,795,38
"1133961",2646,741,620,23
"1133962",2647,1472,1070,32
"1133963",2648,811,586,27
"1133964",2649,624,531,31
"1133965",2650,939,806,35
"1133966",2651,1077,958,33
"1133967",2652,444,317,19
"1133968",2653,1164,870,37
"1133969",2654,1377,518,35
"1133970",2655,1364,663,34
"1133971",2656,649,505,34
"1133980",2657,1210,746,41
"1133981",2658,722,249,16
"1133982",2659,1149,625,35
"1133983",2660,696,380,19
"1133984",2661,479,291,12
"1134000",2662,62,142,1
"1134001",2663,124,467,10
"1134002",2664,280,365,16
"1134003",2665,18,105,1
"1134004",2666,248,642,19
"1134005",2667,194,307,14
"1134006",2668,300,475,15
"1134007",2669,65,67,2
"1134008",2670,31,192,6
"1134009",2671,82,628,12
"1134010",2672,352,479,15
"1134011",2673,103,327,6
"1134012",2674,19,29,1
"1134013",2675,128,102,7
"1134014",2676,826,488,36
"1134015",2677,207,716,22
"1134016",2678,229,782,17
"1134017",2679,91,198,7
"1134018",2680,320,441,13
"1134019",2681,243,1080,35
"1134020",2682,115,401,2
"1134021",2683,258,1178,29
"1134022",2684,124,607,17
"1134023",2685,1,0,0
"1134024",2686,115,699,18
"1134025",2687,14,120,2
"1134026",2688,9,57,1
"1134027",2689,20,108,0
"1134028",2690,31,349,5
"1134029",2691,2,2,0
"1134030",2692,1,25,1
"1134031",2693,85,739,25
"1134033",2694,326,842,40
"1134035",2695,113,493,16
"1134036",2696,34,319,6
"1134037",2697,13,78,1
"1134038",2698,107,886,18
"1134039",2699,16,216,5
"1134040",2700,24,282,6
"1134041",2701,21,227,4
"1134043",2702,69,537,10
"1134044",2703,26,419,5
"1134046",2704,35,449,8
"1134047",2705,25,325,7
"1134048",2706,10,1,2
"1134049",2707,0,0,0
"1134050",2708,638,1693,50
"1134051",2709,0,0,0
"1134052",2710,518,1366,41
"1134053",2711,52,158,4
"1134054",2712,30,178,0
"1134055",2713,244,887,22
"1134056",2714,146,999,19
"1134057",2715,132,625,11
"1134058",2716,74,391,3
"1134059",2717,30,152,4
"1134060",2718,144,798,12
"1134061",2719,180,850,6
"1134062",2720,132,660,10
"1134063",2721,254,1242,23
"1134065",2722,62,250,11
"1134066",2723,96,329,8
"1134067",2724,160,741,19
"1134068",2725,164,711,14
"1134069",2726,257,1171,26
"1134070",2727,100,593,12
"1134071",2728,21,149,6
"1134072",2729,15,99,2
"1134073",2730,195,665,20
"1134074",2731,334,1272,28
"1134075",2732,70,385,8
"1134076",2733,236,951,26
"1134077",2734,121,486,13
"1134078",2735,136,698,19
"1134079",2736,727,1778,66
"1134080",2737,197,304,16
"1134081",2738,206,1107,13
"1134082",2739,55,353,6
"1134083",2740,118,499,15
"1134084",2741,34,223,1
"1134085",2742,63,366,8
"1134086",2743,178,971,9
"1134087",2744,52,319,2
"1134088",2745,14,138,4
"1134090",2746,13,19,1
"1134091",2747,0,0,0
"1134092",2748,29,70,3
"1134093",2749,4,24,3
"1134094",2750,92,198,4
"1134095",2751,11,16,1
"1134096",2752,3,2,0
"1134097",2753,163,376,14
"1134098",2754,16,19,1
"1134099",2755,426,276,13
"11340a2",2756,0,0,0
"11340a3",2757,0,0,0
"1134100",2758,4,11,0
"1134101",2759,3,33,1
"1134107",2760,0,26,0
"1134108",2761,0,22,1
"1134109",2762,1,18,0
"1134110",2763,24,376,4
"1134111",2764,33,98,1
"1134112",2765,50,14,1
"1134113",2766,155,733,17
"1134114",2767,100,626,12
"1134115",2768,83,151,7
"1134116",2769,0,0,0
"1134117",2770,3,11,0
"1134118",2771,1,5,0
"1134119",2772,1,1,0
"1134120",2773,25,203,6
"1134122",2774,0,0,0
"1134125",2775,0,0,0
"1134126",2776,736,397,19
"1134127",2777,283,93,4
"1134128",2778,620,268,21
"1134129",2779,942,299,22
"1134130",2780,693,510,20
"1134131",2781,188,852,23
"1134135",2782,120,636,14
"1134141",2783,27,64,2
"1134143",2784,5,63,0
"1134145",2785,0,0,0
"1134147",2786,2,11,0
"1134149",2787,8,28,1
"1134152",2788,0,0,0
"1134153",2789,49,116,5
"1134157",2790,22,102,2
"1134161",2791,114,295,12
"1134166",2792,0,0,0
"11341a1",2793,0,0,0
"1134300",2794,153,520,9
"1134500",2795,527,729,21
"1134501",2796,563,661,12
"1134502",2797,731,1192,29
"1134503",2798,684,1483,38
"1134504",2799,288,426,14
"1134505",2800,465,557,15
"1134506",2801,291,381,3
"1134507",2802,60,400,8
"1134508",2803,88,181,6
"1134509",2804,408,333,9
"1134510",2805,316,594,12
"1134511",2806,327,455,14
"1134512",2807,306,256,12
"1134513",2808,351,685,17
"1134514",2809,356,311,12
"1134515",2810,232,595,11
"1134516",2811,3,9,0
"1134517",2812,1101,737,44
"1134518",2813,376,528,9
"1134519",2814,853,1045,29
"1134520",2815,132,288,6
"1134521",2816,1084,1186,39
"1134522",2817,714,1092,32
"1134523",2818,139,187,7
"1134525",2819,230,436,7
"1134527",2820,196,478,14
"1134528",2821,0,0,0
"1134529",2822,184,236,12
"1134530",2823,15,86,1
"1134531",2824,163,130,4
"1134532",2825,71,87,1
"1134533",2826,180,338,13
"1134534",2827,10,32,0
"1134535",2828,109,250,3
"1134536",2829,11,15,0
"1134537",2830,2,3,0
"1134538",2831,123,270,8
"1134539",2832,0,0,0
"1134541",2833,0,0,0
"1134542",2834,0,0,0
"1134554",2835,12,10,0
"1134555",2836,7,6,0
"1134557",2837,0,0,0
"1134558",2838,0,0,0
"1134559",2839,0,0,0
"1134600",2840,643,589,33
"1134601",2841,1084,935,32
"1134602",2842,487,555,20
"1134603",2843,7,17,0
"1134604",2844,675,770,24
"1134605",2845,600,630,21
"1134606",2846,652,774,36
"1134607",2847,277,489,20
"1134608",2848,634,1000,28
"1134609",2849,216,622,7
"1134610",2850,682,572,10
"1134611",2851,391,433,16
"1134612",2852,102,81,4
"1134613",2853,82,233,6
"1134614",2854,219,92,2
"1134615",2855,37,74,4
"1134616",2856,210,334,14
"1134617",2857,58,46,1
"1134618",2858,114,140,6
"1134619",2859,453,312,18
"1134620",2860,436,443,25
"1134621",2861,443,1371,43
"1134622",2862,445,597,28
"1134623",2863,493,747,11
"1134624",2864,454,458,15
"1134625",2865,688,557,22
"1134626",2866,902,688,36
"1134627",2867,862,1066,47
"1134628",2868,197,661,21
"1134629",2869,211,408,13
"1134630",2870,484,422,11
"1134631",2871,392,360,13
"1134632",2872,266,654,10
"1134633",2873,122,282,8
"1134634",2874,910,874,29
"1134639",2875,92,205,7
"1134640",2876,400,875,34
"1134641",2877,122,161,6
"1134642",2878,31,40,3
"1134644",2879,0,2,0
"1134646",2880,116,107,7
"1134648",2881,255,649,16
"1134649",2882,10,35,1
"1134651",2883,3,19,0
"1134652",2884,104,223,6
"1134653",2885,9,14,0
"1134654",2886,208,316,9
"1134655",2887,35,5,0
"1134656",2888,13,40,1
"1134657",2889,5,32,1
"1134658",2890,18,22,0
"1134659",2891,48,82,3
"1134660",2892,9,15,1
"1134661",2893,115,284,4
"1134662",2894,49,96,1
"1134663",2895,0,0,0
"1134664",2896,215,271,11
"1134665",2897,0,0,0
"1134667",2898,0,0,0
"1134673",2899,0,0,0
"1134674",2900,0,0,0
"1134675",2901,16,33,1
"1134677",2902,35,97,1
"1134678",2903,9,21,0
"1150001",2904,375,155,4
"1150002",2905,437,197,3
"1150003",2906,618,184,6
"1150004",2907,552,163,11
"1150005",2908,70,16,1
"1150011",2909,67,10,1
"1150012",2910,29,3,1
"1150013",2911,50,5,3
"1150017",2912,42,6,0
"1170001",2913,531,196,2
"1170002",2914,437,240,5
"1170003",2915,1321,272,15
"1170004",2916,499,249,6
"1190001",2917,377,51,6
"1190003",2918,139,47,3
"1190004",2919,267,52,8
"1190005",2920,365,69,6
"1190007",2921,128,17,2
"1190009",2922,154,14,1
"1190010",2923,176,51,3
"1211000",2924,1475,248,19
"1211001",2925,621,142,10
"1211002",2926,91,21,0
"1211003",2927,588,174,18
"1211004",2928,1319,389,27
"1211005",2929,0,0,0
"1211006",2930,1,0,0
"1211007",2931,658,158,20
"1211008",2932,1577,352,22
"1211009",2933,86,10,0
"1211010",2934,1539,370,34
"1211011",2935,797,139,16
"1211012",2936,194,122,9
"1211013",2937,617,384,29
"1211014",2938,316,304,17
"1211015",2939,93,40,3
"1211016",2940,703,502,19
"1211017",2941,571,418,19
"1211018",2942,46,48,2
"1211019",2943,894,490,28
"1211020",2944,912,433,20
"1211021",2945,1126,540,31
"1211022",2946,953,585,25
"1211023",2947,712,461,19
"1211024",2948,1461,869,36
"1211025",2949,737,458,22
"1211026",2950,2130,768,33
"1211027",2951,638,239,11
"1211028",2952,220,78,4
"1211029",2953,56,20,1
"1211030",2954,3,4,0
"1211031",2955,635,590,28
"1211032",2956,1864,837,53
"1211033",2957,1171,516,22
"1211034",2958,230,200,12
"1211035",2959,1197,1160,43
"1211036",2960,1244,916,35
"1211037",2961,402,297,10
"1211038",2962,282,289,15
"1211039",2963,143,146,9
"1211040",2964,225,236,11
"1211041",2965,1107,958,56
"1211042",2966,776,603,38
"1211043",2967,194,215,3
"1211044",2968,500,202,17
"1211045",2969,1115,463,38
"1211046",2970,358,92,9
"1211047",2971,1117,1372,72
"1211048",2972,258,319,14
"1211049",2973,1263,835,49
"1211050",2974,57,57,3
"1211051",2975,73,72,4
"1211052",2976,349,325,8
"1211053",2977,0,0,0
"1211054",2978,651,404,29
"1211055",2979,302,200,11
"1211056",2980,364,246,18
"1211057",2981,170,166,7
"1211058",2982,568,551,24
"1211059",2983,785,785,42
"1211060",2984,382,407,24
"1211061",2985,697,906,45
"1211062",2986,555,939,41
"1211063",2987,560,388,27
"1211064",2988,915,936,40
"1211065",2989,307,250,18
"1211066",2990,58,48,4
"1212067",2991,501,398,24
"1212068",2992,1214,806,50
"1212069",2993,804,596,32
"1212070",2994,4,0,0
"1212071",2995,1936,781,65
"1212072",2996,1270,693,47
"1212073",2997,1462,662,46
"1212074",2998,1078,337,21
"1212075",2999,227,121,13
"1212076",3000,706,717,24
"1212077",3001,781,764,21
"1212078",3002,418,388,17
"1212079",3003,935,510,20
"1212080",3004,910,579,21
"1212081",3005,738,604,22
"1212082",3006,234,185,6
"1212083",3007,542,263,10
"1212084",3008,1086,690,51
"1212085",3009,1361,757,59
"1212086",3010,1104,607,38
"1212087",3011,1135,973,53
"1212088",3012,657,514,37
"1212089",3013,1326,640,27
"1212090",3014,1130,1008,48
"1212091",3015,1987,833,43
"1212092",3016,592,759,46
"1212093",3017,52,71,3
"1212094",3018,503,703,21
"1212095",3019,1077,532,37
"1212096",3020,1383,727,43
"1212097",3021,1223,968,46
"1212098",3022,74,94,7
"1212099",3023,1113,553,36
"1212100",3024,540,1216,47
"1212101",3025,494,1245,45
"1212102",3026,860,1500,58
"1212103",3027,515,625,33
"1212104",3028,950,873,57
"1212105",3029,804,545,43
"1212106",3030,1112,967,66
"1212107",3031,1414,918,54
"1212108",3032,630,501,39
"1212109",3033,883,1099,47
"1212110",3034,830,657,44
"1212111",3035,1128,1149,49
"1212112",3036,510,406,19
"1212113",3037,1281,921,56
"1212114",3038,567,452,22
"1213115",3039,594,819,27
"1213116",3040,996,1369,39
"1213117",3041,128,188,9
"1213118",3042,578,500,25
"1213119",3043,42,36,2
"1213120",3044,485,414,20
"1213121",3045,452,458,18
"1213122",3046,315,582,14
"1213123",3047,1049,1346,40
"1213124",3048,85,44,3
"1213125",3049,152,107,4
"1213126",3050,427,605,26
"1213127",3051,489,1114,55
"1213128",3052,615,660,40
"1213129",3053,687,559,31
"1213130",3054,976,1205,59
"1213131",3055,1287,947,54
"1213132",3056,849,797,39
"1213133",3057,1766,1079,79
"1213134",3058,791,428,22
"1213135",3059,1276,1143,53
"1213136",3060,632,453,23
"1213137",3061,851,620,35
"1213138",3062,1316,703,32
"1213139",3063,1651,790,68
"1213140",3064,1582,867,33
"1213141",3065,1797,530,31
"1213142",3066,300,87,5
"1213143",3067,640,374,30
"1213144",3068,1370,819,36
"1213145",3069,1793,925,66
"1213146",3070,1041,572,32
"1213147",3071,1769,902,52
"1213148",3072,933,560,41
"1213149",3073,910,458,36
"1213150",3074,1039,507,36
"1213151",3075,1445,660,35
"1213152",3076,1009,382,30
"1213153",3077,1502,540,47
"1213154",3078,1429,544,43
"1213155",3079,1801,767,58
"1213156",3080,444,110,12
"1213157",3081,185,40,4
"1213158",3082,1508,559,49
"1213159",3083,1543,825,52
"1213160",3084,1352,637,44
"1214161",3085,771,721,33
"1214162a",3086,163,111,7
"1214162b",3087,33,22,1
"1214163",3088,719,700,31
"1214164",3089,1505,1037,67
"1214165",3090,778,1848,75
"1214166",3091,468,637,28
"1214167",3092,552,1407,59
"1214168",3093,256,764,29
"1214169",3094,475,1189,48
"1214170",3095,455,2206,62
"1214171",3096,51,177,5
"1214172",3097,166,1009,43
"1214173",3098,1,7,0
"1214174",3099,138,825,36
"1214175",3100,33,95,7
"1214176",3101,1040,733,28
"1214177",3102,126,285,7
"1214178",3103,394,744,40
"1214179",3104,1174,682,49
"1214180",3105,579,305,14
"1214181",3106,1367,948,54
"1214182",3107,48,14,1
"1214183",3108,259,50,5
"1214184",3109,1574,477,41
"1214185",3110,1023,228,14
"1214186",3111,1673,371,24
"1214187",3112,188,780,31
"1214188",3113,0,0,0
"1214189",3114,254,91,3
"1214190",3115,1175,319,29
"1214191",3116,800,205,13
"1214192",3117,577,149,10
"1214193",3118,1760,383,31
"1214194",3119,220,44,6
"1214195",3120,130,39,2
"1214196",3121,939,308,18
"1214197",3122,711,137,15
"1214198",3123,1525,289,25
"1214199",3124,22,7,1
"1214200",3125,24,8,1
"1214201",3126,835,255,18
"1214202",3127,1790,601,37
"1214203",3128,1292,380,26
"1214204",3129,1402,576,53
"1214205a",3130,1570,502,46
"1214205b",3131,0,0,0
"1214206",3132,1356,361,27
"1214207",3133,731,142,17
"1214208",3134,407,118,9
"1214209",3135,897,350,19
"1214210",3136,2485,768,42
"1214211",3137,2148,601,49
"1214212",3138,222,83,3
"1214213",3139,474,204,12
"1214214",3140,623,238,14
"1214215",3141,837,332,18
"1214216",3142,320,105,7
"1214217",3143,402,132,12
"1214218",3144,106,32,2
"1214219",3145,1333,265,22
"1214220",3146,819,193,15
"1214221",3147,58,25,3
"1214222",3148,1002,451,46
"1214223",3149,769,308,17
"1214224",3150,478,205,12
"1219100",3151,0,0,0
"1219101",3152,0,0,0
"1219102",3153,0,0,0
"1219200",3154,0,0,0
"1219201",3155,0,0,0
"1219202",3156,0,0,0
"1219203",3157,0,0,0
"1219204",3158,0,0,0
"1219300",3159,0,0,0
"1219301",3160,0,0,0
"1219302",3161,0,0,0
"1219303",3162,0,0,0
"1219304",3163,0,0,0
"1230101",3164,785,123,9
"1230102",3165,177,211,6
"1230201",3166,238,24,3
"1230202",3167,482,87,9
"1230203",3168,447,62,1
"1230301",3169,696,76,4
"1230302",3170,526,81,11
"1230303",3171,199,41,3
"1230401",3172,918,187,9
"1230402",3173,647,50,7
"1250001",3174,45,6,1
"1250002",3175,69,12,1
"1250003",3176,149,24,1
"1250004",3177,113,21,0
"1250005",3178,113,11,2
"1250006",3179,167,22,1
"1270001",3180,302,389,5
"1270002",3181,234,400,8
"1270003",3182,67,122,2
"1270004",3183,32,29,0
"1270005",3184,103,375,2
"1270006",3185,196,290,2
"1270007",3186,107,182,3
"1290101",3187,304,28,4
"1290201",3188,321,47,7
"1290301",3189,142,4,2
"1290303",3190,142,23,1
"1290401",3191,221,32,6
"1310001",3192,289,608,9
"1310002",3193,200,509,2
"1310003",3194,71,203,2
"1310004",3195,42,53,0
"1310005",3196,84,116,1
"1310006",3197,19,53,0
"1310007",3198,55,19,1
"1310008",3199,557,505,3
"1310009",3200,160,390,4
"1330001",3201,1268,162,13
"1330002",3202,172,20,2
"1330003",3203,617,126,11
"1330004",3204,184,15,1
"1330005",3205,291,42,3
"1330006",3206,184,20,1
"1330007",3207,1067,101,8
"1330008",3208,1325,191,16
"1330009",3209,326,31,2
"1350101",3210,725,241,14
"1350102",3211,452,234,9
"1350103",3212,420,166,3
"1350104",3213,600,201,11
"1350108",3214,770,162,7
"1350109",3215,104,13,0
"1350110",3216,785,224,12
"1350111",3217,583,172,20
"1350201",3218,1295,244,23
"1350202",3219,1279,267,17
"1350203",3220,1883,369,35
"1350204",3221,1280,318,20
"1350205",3222,823,202,11
"1350206",3223,655,133,10
"1350207",3224,934,67,9
"1350208",3225,1233,308,19
"1350209",3226,643,167,13
"1350301",3227,660,374,18
"1350302",3228,305,145,8
"1350303",3229,446,234,12
"1350304",3230,102,78,2
"1350305",3231,80,94,4
"1350306",3232,213,156,7
"1350307",3233,461,277,9
"1350308",3234,330,119,5
"1350309",3235,423,180,5
"1350310",3236,414,144,4
"1350311",3237,303,148,5
"1350312",3238,519,157,8
"1350313",3239,337,58,9
"1350314",3240,503,128,14
"1350401",3241,217,100,4
"1350402",3242,195,369,9
"1350403",3243,211,556,8
"1350404",3244,309,190,12
"1350405",3245,83,196,4
"1350406",3246,405,405,12
"1350407",3247,519,215,8
"1350408",3248,90,115,1
"1350409",3249,227,174,9
"1350412",3250,118,111,2
"1370001",3251,76,22,0
"1370002",3252,230,19,4
"1370003",3253,183,21,2
"1370004",3254,146,38,1
"1391001",3255,177,569,10
"1391002",3256,45,12,1
"1391003",3257,646,253,29
"1391004",3258,0,0,0
"1391005",3259,1035,374,28
"1391006",3260,905,328,30
"1391007",3261,924,252,12
"1391008",3262,57,19,1
"1391009",3263,1152,355,25
"1391010",3264,765,357,15
"1391011",3265,1034,444,25
"1391012",3266,900,610,28
"1391013",3267,550,247,21
"1391014",3268,945,176,10
"1391015",3269,998,297,19
"1391016",3270,357,358,10
"1391017",3271,1024,377,17
"1391018",3272,531,458,16
"1391019",3273,847,240,20
"1391020",3274,609,189,9
"1391021",3275,597,140,12
"1391022",3276,1116,343,22
"1391023",3277,0,0,0
"1391024",3278,828,288,15
"1391025",3279,1120,404,20
"1391026",3280,957,332,25
"1391027",3281,1015,248,18
"1391028",3282,1078,213,17
"1391029",3283,223,71,0
"1391030",3284,718,249,9
"1391031",3285,234,88,6
"1391032",3286,1479,242,25
"1391033",3287,706,160,14
"1391034",3288,1723,385,45
"1391035",3289,765,197,20
"1391036",3290,1360,381,32
"1391037",3291,590,166,11
"1391038",3292,1525,361,28
"1391039",3293,1359,331,22
"1391040",3294,169,33,3
"1391041",3295,1354,265,21
"1391042",3296,163,39,2
"1391043",3297,1494,441,31
"1391044",3298,316,73,6
"1391045",3299,80,18,1
"1391046",3300,157,38,4
"1391047",3301,165,48,3
"1391048",3302,879,269,17
"1391049",3303,287,85,4
"1391050",3304,735,682,25
"1391051",3305,903,572,31
"1391052",3306,570,679,32
"1391053",3307,614,377,19
"1391054",3308,724,488,24
"1391055",3309,1415,434,24
"1391056",3310,1225,335,31
"1391057",3311,783,268,16
"1391058",3312,422,150,10
"1391059",3313,298,71,4
"1410001",3314,280,574,19
"1410002",3315,314,709,26
"1410003",3316,413,701,20
"1410004",3317,294,448,11
"1410005",3318,517,828,26
"1410006",3319,752,548,17
"1410007",3320,668,840,32
"1410008",3321,1055,627,23
"1410009",3322,823,961,46
"1410010",3323,487,1295,23
"1410011",3324,846,1506,52
"1410012",3325,405,656,14
"1410013",3326,601,1071,34
"1410014",3327,1007,1105,27
"1410015",3328,795,757,42
"1410016",3329,519,1264,48
"1410017",3330,429,522,21
"1410018",3331,931,933,33
"1410019",3332,606,1124,45
"1410020",3333,264,437,8
"1410021",3334,705,628,30
"1410022",3335,534,799,36
"1410023",3336,436,418,20
"1410024",3337,878,1029,40
"1410025",3338,546,872,27
"1410026",3339,377,608,15
"1410027",3340,295,684,20
"1410028",3341,40,136,1
"1410029",3342,350,886,25
"1410030",3343,11,65,1
"1410031",3344,145,500,13
"1410032",3345,305,638,24
"1410033",3346,431,806,25
"1410034",3347,50,253,2
"1410035",3348,401,797,31
"1410036",3349,172,837,27
"1410037",3350,112,695,15
"1410038",3351,170,725,21
"1410039",3352,53,221,6
"1410040",3353,71,297,10
"1410041",3354,83,352,9
"1410042",3355,110,581,15
"1410043",3356,608,562,21
"1410044",3357,750,961,35
"1410045",3358,639,991,37
"1410046",3359,222,409,12
"1410047",3360,580,724,34
