CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
"0010001",1,1847,1164,162,0.0685518423307626
"0010002",2,2652,1769,94,0.0200892857142857
"0010003",3,1203,873,57,0.0492554410080183
"0010004",4,1586,1156,46,0.019047619047619
"0010005",5,290,215,6,0.0186915887850467
"0010006",6,1465,783,125,0.06125
"0010007",7,1398,632,262,0.141955835962145
"0010008",8,326,171,71,0.178571428571429
"0010009",9,1394,902,75,0.0380021715526602
"0010010",10,578,371,45,0.0638297872340425
"0010011",11,1311,854,50,0.0368663594470046
"0010013",12,1800,1110,201,0.0834813499111901
"0010015",13,932,661,53,0.0358744394618834
"0010016",14,865,631,47,0.0469483568075117
"0010017",15,861,623,70,0.0506993006993007
"0010018",16,2126,1438,57,0.0226027397260274
"0010019",17,2308,1481,228,0.0723055934515689
"0010020",18,1190,745,159,0.0847240051347882
"0010021",19,1872,1274,120,0.0471327572663001
"0010022",20,1024,750,51,0.0289855072463768
"0010023",21,1334,978,34,0.0174537987679671
"0010024",22,862,648,23,0.0230414746543779
"0030001",23,2461,1330,1028,0.329519450800915
"0030002",24,2743,1735,767,0.228587962962963
"0030003",25,2567,1500,1057,0.308981233243968
"0030004",26,2481,1302,1193,0.39453125
"0050001",27,579,284,168,0.203448275862069
"0050002",28,2624,1367,557,0.204081632653061
"0050003",29,1879,1203,235,0.100755667506297
"0050004",30,2016,1153,271,0.0980735551663748
"0050005",31,2006,1099,297,0.111716621253406
"0050006",32,623,439,65,0.0528735632183908
"0050007",33,1380,1056,82,0.042654028436019
"0050008",34,761,592,17,0.0301003344481605
"0050009",35,298,227,15,0.0307017543859649
"0050010a",36,1205,724,200,0.141873278236915
"0050010b",37,167,101,35,0.14
"0050011",38,2188,1663,69,0.0223356732610083
"0050012",39,890,586,64,0.0543293718166384
"0050013",40,716,435,112,0.125
"0050014",41,1938,1360,203,0.085419734904271
"0050015",42,691,481,155,0.184265010351967
"0050016",43,2255,1231,881,0.323240589198036
"0050017",44,1592,1199,29,0.0158730158730159
"0050018",45,725,464,60,0.0567685589519651
"0050019",46,1423,1083,72,0.041970802919708
"0050020",47,2832,1363,570,0.155044510385757
"0050021",48,741,510,23,0.0753968253968254
"0050022",49,1874,1338,82,0.0335570469798658
"0050023",50,510,394,32,0.0326633165829146
"0050024",51,2719,1679,341,0.0970988750740083
"0050025",52,2389,1558,277,0.0900900900900901
"0050026",53,1620,1245,81,0.0478850758180367
"0050027",54,356,284,13,0.0460992907801418
"0050028",55,1160,847,154,0.104582843713279
"0050029",56,1569,1094,89,0.0430009149130833
"0050030",57,1089,758,23,0.0185185185185185
"0050031",58,480,288,113,0.210344827586207
"0050032",59,27,20,0,0
"0050033",60,1539,1109,32,0.0170250896057348
"0050034",61,2280,1594,148,0.0575719649561952
"0050035",62,1898,1380,121,0.0559593023255814
"0050037",63,536,373,61,0.0894736842105263
"0050038",64,437,292,68,0.142857142857143
"0050039",65,552,348,49,0.0847953216374269
"0050040",66,757,485,88,0.106694560669456
"005011b",67,1290,750,43,0.0279465370595383
"005017b",68,488,317,6,0.0128205128205128
"0070001",69,2422,1653,310,0.107378524295141
"0070002",70,3944,2327,1200,0.242281303602058
