CNTYVTD,VTDKEY,CruzR_12G_U.S. Sen,SadlerD_12G_U.S. Sen,MyersL_12G_U.S. Sen,CollinsG_12G_U.S. Sen
"0292156",569,168,206,7,1
"0292157",570,0,0,0,0
"0292158",571,0,0,0,0
"0292159",572,58,61,3,2
"0292160",573,25,10,0,0
"0292161",574,87,40,5,4
"0292162",575,140,164,4,2
"0292163",576,716,660,24,10
"0292164",577,363,467,20,14
"0292165",578,856,779,38,14
"0292166",579,470,497,23,9
"0292167",580,1,1,0,0
"0292168",581,363,427,19,15
"0292169",582,476,474,24,10
"0292170",583,944,774,30,14
"0292171",584,386,406,25,8
"0292172",585,85,109,5,2
"0292173",586,356,412,17,17
"0292174",587,725,625,34,11
"0292175",588,286,337,17,9
"0292176",589,360,246,8,8
"0292177",590,0,0,0,0
"0292178",591,153,421,9,8
"0292179",592,39,28,2,1
"0292180a",593,443,574,31,14
"0292180b",594,9,12,1,0
"0292181a",595,52,26,3,2
"0292181b",596,8,5,1,1
"0292181c",597,9,5,1,0
"0292181d",598,22,10,1,0
"0292181e",599,4,2,0,0
"0292181f",600,5,2,0,0
"0292181g",601,0,0,0,0
"0292182a",602,11,5,1,0
"0292182b",603,14,8,2,0
"0292182c",604,36,17,1,0
"0293001",605,1061,467,27,13
"0293002",606,777,376,25,11
"0293003",607,339,261,19,9
"0293004",608,0,0,0,0
"0293005",609,448,102,8,3
"0293006",610,460,303,17,5
"0293007",611,926,556,31,10
"0293008",612,46,13,1,0
"0293009",613,8,0,0,0
"0293010",614,120,142,9,2
"0293011",615,467,292,9,4
"0293012",616,293,81,3,2
"0293013",617,541,530,32,11
"0293014",618,179,131,7,2
"0293015",619,470,513,25,17
"0293016",620,0,0,0,0
"0293017",621,882,209,17,7
"0293018",622,824,462,16,12
"0293019",623,0,0,0,0
"0293020",624,1010,711,34,13
"0293021",625,1393,372,31,4
"0293022",626,611,413,26,18
"0293023",627,38,13,1,1
"0293024",628,0,1,0,0
"0293025",629,721,403,21,10
"0293026",630,669,369,18,9
"0293027",631,622,331,21,13
"0293028",632,599,465,26,17
"0293029",633,422,324,19,13
"0293030",634,1017,476,39,6
"0293031",635,7,13,0,0
"0293032",636,9,6,0,0
"0293033",637,1079,310,15,6
"0293034",638,1663,317,20,5
"0293035",639,223,197,9,5
"0293036",640,800,734,44,19
"0293037",641,30,14,1,0
"0293038",642,420,342,18,9
"0293039",643,1513,610,58,16
"0293040",644,707,482,37,17
"0293041",645,319,201,4,4
"0293042",646,742,302,17,8
"0293043",647,1052,323,26,6
"0293044",648,589,315,24,10
"0293045",649,769,280,12,6
"0293046",650,640,405,22,12
"0293047",651,748,463,23,16
"0293048",652,557,379,28,12
"0293049",653,962,488,18,16
"0293050",654,452,260,17,7
"0293051",655,147,71,6,5
"0293052",656,530,241,15,2
"0293053",657,679,369,15,4
"0293054",658,9,36,1,1
"0293055",659,1245,331,39,13
"0293056",660,477,506,25,8
"0293057",661,214,127,10,2
"0293058",662,456,443,25,4
"0293059",663,578,288,24,12
"0293060",664,646,484,25,14
"0293061",665,521,480,30,13
"0293062",666,19,15,0,0
"0293063",667,651,462,33,13
"0293064",668,165,98,6,3
"0293065",669,1165,545,46,6
"0293066",670,671,523,28,11
"0293067",671,637,368,26,8
"0293068",672,379,609,28,15
"0293069",673,1056,690,30,24
"0293070",674,1118,592,32,16
"0293071",675,754,672,46,21
"0293072",676,1198,515,24,8
"0293073",677,529,430,13,6
"0293074",678,1078,641,31,18
"0293075",679,1478,542,33,10
"0293076",680,737,265,9,3
"0293077",681,992,601,30,14
"0293078",682,1161,667,33,21
"0293079",683,1256,675,28,18
"0293080",684,464,238,11,5
"0293081",685,823,523,35,10
"0293082",686,789,572,50,10
"0293083",687,647,347,24,10
"0293084",688,1114,704,51,19
"0293085",689,492,256,25,10
"0293086",690,705,404,20,15
"0293087",691,629,316,17,13
"0293088",692,966,365,28,11
"0293089",693,1441,478,35,15
"0293090",694,1117,667,31,21
"0293091",695,484,134,13,5
"0293092",696,1434,491,36,19
"0293093",697,1212,457,31,12
"0293094",698,1050,309,21,9
"0293095",699,377,378,34,8
"0293096",700,1110,591,29,12
"0293097",701,15,5,1,0
"0293098",702,447,311,17,8
"0293099",703,1211,742,38,14
"0293100",704,943,589,41,14
"0293101",705,870,552,28,12
"0293102",706,1286,616,42,16
"0293103",707,144,149,5,0
"0293104",708,1157,596,52,15
"0293105",709,1064,688,53,20
"0293106",710,793,338,22,14
"0293107",711,415,137,9,3
"0293108",712,668,308,17,11
"0293109",713,633,836,48,22
"0293110",714,1006,679,39,13
"0293111",715,0,0,0,0
"0293112",716,309,417,22,13
"0293113",717,194,279,13,13
"0293114",718,1199,400,40,18
"0293115",719,896,404,12,6
"0293116",720,483,234,16,4
"0293117",721,1271,663,53,23
"0293118",722,343,231,9,5
"0293119",723,804,608,33,9
"0293120",724,974,769,46,35
"0293121",725,1002,457,30,9
"0293122",726,786,482,36,19
"0293123",727,301,122,11,1
"0293124",728,418,252,18,4
"0293125",729,1219,476,28,7
"0293126",730,376,137,6,7
"0293127",731,816,309,21,7
"0293128",732,22,18,1,3
"0293129",733,831,853,60,14
"0293130",734,942,375,22,9
"0293131",735,6,0,0,0
"0293132",736,285,304,31,8
"0293133",737,0,0,0,0
"0293134",738,500,668,30,15
"0293135",739,263,236,8,5
"0293136",740,429,324,18,4
"0293137",741,836,404,28,8
"0293138",742,32,9,1,2
"0293139a",743,416,191,13,5
"0293139b",744,26,12,1,0
"0293139c",745,37,17,2,1
"0293140",746,2,9,0,0
"0293141",747,1,4,0,0
"0293142",748,54,26,4,0
"0293143",749,465,421,20,12
"0293144",750,1,0,0,0
"0293145",751,775,324,16,4
"0293146",752,870,803,52,20
"0293147",753,0,0,0,0
"0293148",754,340,169,8,5
"0293149",755,124,421,26,8
"0293150",756,8,11,0,0
"0293151",757,852,443,27,5
"0293152",758,331,175,13,4
"0293153",759,589,376,22,10
"0293154",760,764,328,25,12
"0293155",761,1218,493,28,8
"0293156",762,6,1,0,0
"0293157",763,1104,644,53,17
"0293158",764,29,19,1,0
"0293159",765,519,624,29,16
"0293160",766,589,331,18,5
"0293161",767,655,684,36,14
"0293162",768,509,264,17,6
"0293163",769,1098,508,33,17
"0293164",770,787,319,25,6
"0293165",771,1525,715,52,12
"0293166",772,173,139,7,3
"0293167",773,3,5,0,0
"0293168",774,81,52,3,1
"0293169",775,48,40,1,0
"0293170",776,0,0,0,0
"0293171",777,0,0,0,0
"0293172",778,136,126,16,8
"0293173",779,1331,609,49,10
"0293174",780,1130,477,33,18
"0293175",781,220,170,11,4
"0293176",782,5,3,0,0
"0293177",783,0,0,0,0
"0293178",784,0,0,0,0
"0293179",785,0,0,0,0
"0293180",786,327,237,20,5
"0293181",787,940,359,25,9
"0293182",788,254,197,12,4
"0293183",789,10,2,0,0
"0293184",790,207,61,4,3
"0293185",791,44,27,1,0
"0293186",792,0,0,0,0
"0293187",793,0,0,0,0
"0293188",794,0,0,0,0
"0293189",795,241,157,9,4
"0293190",796,105,68,5,3
"0293191",797,20,13,0,0
"0293192",798,0,0,0,0
"0293193",799,59,32,3,1
"0293194",800,556,147,18,6
"0293195",801,407,391,21,4
"0293196",802,7,2,0,0
"0293197",803,0,0,0,0
"0293198",804,175,106,5,2
"0293199",805,1260,488,30,8
"0293200",806,0,0,0,0
"0293201",807,1001,407,28,7
"0293202",808,336,141,12,5
"0293203",809,224,96,6,3
"0293204",810,0,0,0,0
"0293205",811,1,1,0,0
"0294001",812,190,322,16,9
"0294002",813,53,286,6,3
"0294003",814,50,385,9,2
"0294004",815,34,134,2,2
"0294005",816,126,488,14,4
"0294006",817,23,95,0,2
"0294007",818,370,253,9,10
"0294008",819,141,150,14,2
"0294009",820,52,226,3,5
"0294010",821,51,666,9,4
"0294011",822,24,368,2,4
"0294012",823,35,265,5,2
"0294013",824,81,262,6,3
"0294014",825,25,128,3,2
"0294015",826,143,526,13,20
"0294016",827,231,758,20,12
"0294017",828,217,622,32,21
"0294018",829,171,440,7,15
"0294019",830,304,710,24,11
"0294020",831,124,181,5,1
"0294021",832,233,264,13,9
"0294022",833,33,41,0,1
"0294023",834,485,621,20,16
"0294024",835,405,737,14,15
"0294025",836,163,373,15,3
"0294026",837,395,962,19,14
"0294027",838,214,530,12,6
"0294028",839,277,856,16,20
"0294029",840,109,761,5,10
"0294030",841,10,152,0,0
"0294031",842,165,497,12,7
"0294032",843,240,519,8,12
"0294033",844,525,957,21,18
"0294034",845,248,569,11,7
"0294035",846,9,22,0,1
"0294036",847,230,1170,16,13
"0294037",848,60,760,4,1
"0294038",849,663,718,42,17
"0294039",850,27,657,6,4
"0294040",851,77,542,4,3
"0294041",852,86,1003,14,12
"0294042",853,1,4,0,0
"0294043",854,566,893,36,10
"0294044",855,239,395,15,5
"0294045",856,517,679,37,15
"0294046",857,895,579,33,8
"0294047",858,437,666,35,19
"0294048",859,126,541,12,9
"0294049",860,299,610,17,5
"0294050",861,584,388,20,8
"0294051",862,739,453,19,13
"0294052",863,675,553,27,20
"0294053",864,407,409,25,12
"0294054",865,865,998,34,16
"0294055",866,491,352,12,11
"0294056",867,854,695,50,21
"0294057",868,811,308,26,12
"0294058",869,720,362,16,11
"0294059",870,613,484,38,13
"0294060",871,378,589,26,13
"0294061",872,309,613,19,17
"0294062",873,92,177,5,6
"0294063",874,149,227,12,3
"0294064",875,580,650,19,14
"0294065",876,203,505,12,8
"0294066",877,612,1094,35,11
"0294067",878,324,363,29,10
"0294068",879,25,20,2,0
"0294069",880,383,215,9,8
"0294070",881,332,1059,24,14
"0294071",882,718,145,14,9
"0294072",883,1075,450,30,11
"0294073",884,350,293,15,13
"0294074",885,451,363,16,8
"0294075",886,52,204,2,3
"0294076",887,289,660,21,10
"0294077",888,331,534,15,6
"0294078",889,534,164,12,7
"0294079",890,527,314,19,13
"0294080",891,379,647,12,17
"0294081",892,290,88,19,2
"0294082",893,102,677,14,8
"0294083",894,56,90,4,1
"0294084",895,23,143,4,2
"0294085",896,15,3,0,1
"0294086",897,129,93,4,2
"0294087",898,192,196,3,6
"0294088",899,695,1306,52,11
"0294089",900,757,674,34,9
"0294090",901,516,441,35,11
"0294091",902,200,239,21,9
"0294092",903,554,374,17,9
"0294093",904,666,605,40,13
"0294094",905,528,450,23,14
"0294095",906,555,398,27,9
"0294096",907,424,603,23,17
"0294097",908,307,246,11,6
"0294098",909,427,397,23,8
