CNTYVTD,VTDKEY,AbbottR_22G_Governor,BarriosG_22G_Governor,O'RourkeD_22G_Governor,TippettsL_22G_Governor,Write-InW_22G_Governor
"1131710",2168,69,2,389,4,0
"1131711",2169,291,9,449,11,2
"1131712",2170,483,6,516,10,1
"1131713",2171,272,0,209,6,0
"1131714",2172,369,4,417,12,3
"1131715",2173,161,1,295,0,0
"1131716",2174,697,3,537,22,0
"1131717",2175,576,6,773,11,2
"1131718",2176,373,0,361,4,0
"1131719",2177,391,5,602,8,3
"1131720",2178,524,5,710,12,0
"1131721",2179,534,0,539,4,2
"1131722",2180,370,5,715,9,0
"1131723",2181,20,0,33,1,0
"1131724",2182,16,1,36,0,0
"1131725",2183,172,1,125,2,0
"1131726",2184,300,4,467,9,2
"1131727",2185,35,0,61,0,0
"1131728",2186,262,2,311,6,0
"1131729",2187,210,4,364,2,2
"1131730",2188,0,0,0,0,0
"1131731",2189,0,0,0,0,0
"1131732",2190,225,1,277,4,2
"1131733",2191,667,0,822,13,0
"1131734",2192,373,1,338,1,1
"1131735",2193,1258,7,1214,21,1
"1131736",2194,678,2,429,9,3
"1131737",2195,1805,8,1177,28,4
"1131738",2196,517,6,659,8,0
"1131739",2197,610,3,756,9,0
"1131740",2198,787,10,1097,20,2
"1131741",2199,955,12,1174,18,2
"1131742",2200,748,8,1208,20,2
"1131743",2201,778,10,1133,16,2
"1131744",2202,21,0,15,0,0
"1131745",2203,523,10,618,7,2
"1131746",2204,286,2,430,7,2
"1131747",2205,569,5,709,5,0
"1131748",2206,296,3,579,17,0
"1131749",2207,603,7,962,17,1
"1131750",2208,683,2,722,11,2
"1131751",2209,1228,9,1544,31,1
"1131752",2210,706,7,1010,15,1
"1132000",2211,4,0,1,0,0
"1132001",2212,4,1,11,0,0
"1132002",2213,292,0,523,12,0
"1132003",2214,882,3,911,12,2
"1132004",2215,757,2,691,14,2
"1132005",2216,302,3,400,8,0
"1132006",2217,501,2,565,8,0
"1132007",2218,1157,6,937,29,1
"1132008",2219,512,3,445,14,3
"1132009",2220,633,4,787,17,0
"1132010",2221,499,1,510,8,2
"1132011",2222,763,1,631,21,0
"1132015",2223,298,2,340,9,3
"1132016",2224,1359,3,976,20,3
"1132017",2225,215,3,504,11,3
"1132018",2226,323,2,302,5,0
"1132019",2227,641,2,593,15,2
"1132020",2228,616,1,923,16,4
"1132021",2229,1461,2,986,29,3
"1132022",2230,260,0,281,8,1
"1132023",2231,391,3,452,10,0
"1132024",2232,491,1,598,9,2
"1132025",2233,1112,3,771,15,1
"1132026",2234,1303,1,780,18,0
"1132027",2235,694,1,450,11,0
"1132028",2236,0,0,1,0,0
"1132030",2237,1083,4,419,14,1
"1132031",2238,657,4,1225,17,4
"1132032",2239,362,0,759,12,1
"1132033",2240,487,2,737,7,1
"1132035",2241,381,1,665,4,0
"1132037",2242,429,1,398,6,1
"1132038",2243,836,3,1232,20,1
"1132039",2244,600,2,1161,23,4
"1132040",2245,490,0,705,24,1
"1132041",2246,1500,5,1197,12,0
"1132042",2247,811,6,1197,19,0
"1132043",2248,596,1,805,18,1
"1132044",2249,297,2,361,5,1
"1132045",2250,538,5,766,9,1
"1132046",2251,592,0,608,7,4
"1132047",2252,726,3,818,21,5
"1132048",2253,675,11,1268,10,3
"1132049",2254,440,0,557,11,6
"1132050",2255,451,4,529,10,3
"1132051",2256,773,3,859,17,3
"1132052",2257,574,5,386,6,2
"1132053",2258,295,3,827,13,1
"1132054",2259,287,4,757,7,1
"1132055",2260,177,1,355,1,1
"1132056",2261,506,2,408,10,0
"1132057",2262,219,0,164,4,1
"1132058",2263,278,1,366,4,1
"1132074",2264,174,1,379,3,0
"1132076",2265,1,0,0,0,0
"1132077",2266,423,1,398,7,1
"1132079",2267,143,3,552,4,0
"1132080",2268,32,0,69,0,0
"1132081",2269,31,1,250,0,2
"1132082",2270,235,4,949,11,1
"1132083",2271,268,2,593,14,1
"1132084",2272,28,1,152,4,0
"1132085",2273,42,0,108,2,0
"1132086",2274,501,2,1186,14,0
"1132087",2275,394,5,1176,23,1
"1132090",2276,7,0,15,0,0
"1132091",2277,289,4,290,6,0
"1132092",2278,0,0,0,0,0
"1132094",2279,122,0,246,2,0
"1132095",2280,0,0,0,0,0
"1132096",2281,0,0,0,0,0
"1132097",2282,0,0,0,0,0
"1132098",2283,382,0,603,5,1
"1132099",2284,509,5,1588,15,1
"11320a8",2285,0,0,0,0,0
"1132100",2286,349,4,1545,10,3
"1132101",2287,414,1,595,13,1
"1132102",2288,874,2,1376,26,1
"1132103",2289,73,2,320,4,0
"1132104",2290,65,2,88,1,2
"1132105",2291,347,3,1090,22,1
"1132106",2292,130,3,766,13,1
"1132107",2293,3,0,22,0,0
"1132108",2294,165,4,202,2,1
"1132109",2295,0,0,0,0,0
"1132110",2296,23,1,133,2,0
"1132111",2297,4,0,8,0,0
"1132112",2298,8,0,51,0,0
"1132113",2299,0,0,0,0,0
"1132114",2300,746,0,1015,13,1
"1132115",2301,74,0,88,1,0
"1132116",2302,34,0,53,0,0
"1132117",2303,115,4,568,6,0
"1132118",2304,39,3,308,5,3
"1132119",2305,48,1,74,1,0
"1132120",2306,325,1,598,14,1
"1132121",2307,36,3,240,1,0
"1132122",2308,224,3,387,10,1
"1132123",2309,132,2,374,2,0
"1132124",2310,112,2,549,6,1
"1132125",2311,93,5,969,9,2
"1132126",2312,83,0,233,4,0
"1132127",2313,492,5,975,21,1
"1132128",2314,464,5,932,13,2
"1132129",2315,33,3,138,2,1
"1132130",2316,115,2,310,0,0
"1132131",2317,125,3,540,6,1
"1132132",2318,86,2,207,3,0
"1132133",2319,8,1,41,0,1
"1132134",2320,169,1,547,5,1
"1132137",2321,67,1,302,5,0
"1132138",2322,64,3,194,1,0
"1132139",2323,49,1,165,1,0
"1132140",2324,45,0,177,2,1
"1132141",2325,65,3,222,5,0
"1132142",2326,91,0,304,8,1
"1132143",2327,51,0,115,3,1
"1132144",2328,362,1,571,22,1
"1132145",2329,519,2,994,23,2
"1132146",2330,298,4,808,10,0
"1132147",2331,459,5,816,17,3
"1132148",2332,62,3,250,1,1
"1132149",2333,175,1,686,18,1
"1132150",2334,96,3,385,3,0
"1132151",2335,46,1,79,1,0
"1132152",2336,218,2,686,12,0
"1132153",2337,163,0,446,5,1
"1132154",2338,5,0,8,0,0
"1132155",2339,384,2,1008,20,5
"1132200",2340,888,1,390,11,1
"1132201",2341,901,1,386,16,4
"1132202",2342,866,0,426,12,2
"1132203",2343,711,2,368,16,4
"1132220",2344,929,0,279,17,4
"1132221",2345,1807,2,664,28,7
"1132222",2346,1457,3,597,17,0
"1132223",2347,683,3,419,10,1
"1132224",2348,539,2,479,14,3
"1132225",2349,772,1,361,8,1
"1132226",2350,1284,2,590,19,1
"1132300",2351,211,1,362,5,0
"1132301",2352,830,4,673,20,3
"1132302",2353,188,2,533,6,0
"1132303",2354,577,1,673,16,2
"1132305",2355,358,4,728,9,0
"1132306",2356,349,4,412,6,1
"1132307",2357,171,3,204,4,0
"1132308",2358,328,0,684,5,2
"1132309",2359,191,1,561,7,1
"1132310",2360,611,5,613,20,1
"1132311",2361,60,1,86,2,0
"1132312",2362,4,0,9,0,2
"1132313",2363,0,0,0,0,0
"1132315",2364,19,0,53,0,0
"1132316",2365,543,5,486,15,0
"1132400",2366,58,1,25,1,0
"1132401",2367,893,5,1024,24,1
"1132402",2368,684,6,838,21,1
"1132403",2369,1,0,0,0,0
"1132404",2370,337,5,515,12,1
"1132405",2371,932,7,978,20,2
"1132406",2372,628,5,965,9,0
"1132407",2373,780,4,1113,27,0
"1132408",2374,233,1,525,9,0
"1132409",2375,281,3,529,8,1
"1132410",2376,252,6,444,8,0
"1132411",2377,67,0,151,5,0
"1132412",2378,0,0,0,0,0
"1132417",2379,54,0,54,2,0
"1132500",2380,411,2,577,10,1
"1132501",2381,458,0,455,16,1
"1132502",2382,794,2,513,17,2
"1132503",2383,1089,2,800,22,1
"1132504",2384,385,2,408,15,2
"1132505",2385,472,3,679,8,0
"1132506",2386,671,1,765,22,1
"1132507",2387,652,3,749,23,5
"1132508",2388,512,7,1049,17,3
"1132509",2389,920,7,925,29,0
"1132510",2390,405,6,622,15,0
"1132511",2391,533,5,635,19,3
"1132512",2392,383,3,441,15,0
"1132513",2393,564,7,780,17,0
"1132514",2394,704,5,812,18,3
"1132515",2395,194,0,251,1,0
"1132517",2396,293,9,754,10,0
"1132518",2397,482,3,629,9,4
"1132519",2398,383,2,706,21,1
"1132520",2399,548,5,1125,25,2
"1132521",2400,506,5,770,15,2
"1132523",2401,205,4,497,5,0
"1132601",2402,266,3,579,6,0
"1132602",2403,470,5,904,9,1
"1132603",2404,462,0,980,16,1
"1132604",2405,467,5,979,14,1
"1132605",2406,414,2,948,15,0
"1132606",2407,336,1,621,8,0
"1132607",2408,0,0,0,0,0
"1132608",2409,856,4,903,17,2
"1132609",2410,3,0,1,0,0
"1132610",2411,0,0,0,0,0
"1132611",2412,248,2,453,8,0
"1132612",2413,24,0,80,1,0
"1132613",2414,703,3,1205,20,2
"1132614",2415,20,0,56,0,1
"1132800",2416,0,0,0,0,0
"1132801",2417,1107,6,968,27,1
"1132802",2418,1380,7,1308,28,3
"1132803",2419,510,2,355,16,0
"1132804",2420,776,2,720,13,3
"1132805",2421,1176,4,1160,22,2
"1132806",2422,808,6,747,23,0
"1132807",2423,669,3,784,15,1
"1132808",2424,955,1,928,9,1
"1132809",2425,685,8,785,21,2
"1132810",2426,12,0,1,0,0
"1132900",2427,940,2,931,22,1
"1132901",2428,168,3,462,5,2
"1132902",2429,289,1,531,4,1
"1132903",2430,484,3,933,17,0
"1132904",2431,3,0,1,0,0
"1132905",2432,206,1,149,3,0
"1132910",2433,12,0,7,1,0
"1132911",2434,66,0,57,0,1
"1132913",2435,2,0,0,0,0
"11329a1",2436,0,0,0,0,0
"1133000",2437,767,2,1192,22,3
"1133001",2438,20,2,134,0,0
"1133002",2439,69,2,259,3,0
"1133003",2440,89,1,768,5,0
"1133004",2441,188,5,910,6,1
"1133005",2442,122,0,245,3,1
"1133006",2443,837,3,1059,21,1
"1133007",2444,379,0,374,11,0
"1133008",2445,68,1,326,6,1
"1133009",2446,0,0,0,0,0
"1133010",2447,26,0,169,1,1
"1133011",2448,176,2,362,7,0
"1133012",2449,16,0,38,0,0
"1133013",2450,74,2,181,2,0
"1133014",2451,258,7,518,10,3
"1133015",2452,33,0,56,0,0
"1133016",2453,130,2,562,3,1
"1133017",2454,22,3,194,3,1
"1133018",2455,34,1,513,7,0
"1133019",2456,11,2,174,5,1
"1133020",2457,19,0,75,2,0
"1133021",2458,16,1,234,3,0
"1133022",2459,34,1,401,2,0
"1133023",2460,12,1,337,4,3
"1133024",2461,26,1,338,4,1
"1133025",2462,3,0,43,0,0
"1133026",2463,11,0,213,1,0
"1133027",2464,22,1,353,1,1
"1133028",2465,21,1,272,0,1
"1133029",2466,10,4,210,2,0
"1133030",2467,0,0,3,0,0
"1133031",2468,68,2,156,3,1
"1133032",2469,55,1,343,6,0
"1133033",2470,5,0,86,2,1
"1133034",2471,15,0,437,2,0
"1133035",2472,32,6,375,0,4
"1133036",2473,1,0,0,0,0
"1133037",2474,11,2,119,0,0
"1133038",2475,25,3,306,2,0
"1133039",2476,44,3,691,4,0
"1133040",2477,17,2,257,3,0
"1133041",2478,2,0,27,1,0
"1133042",2479,16,1,337,3,0
"1133043",2480,20,1,507,5,1
"1133044",2481,36,3,646,4,0
"1133045",2482,19,2,200,0,0
"1133046",2483,143,1,911,7,1
"1133047",2484,147,2,399,5,0
"1133048",2485,46,3,735,5,2
"1133049",2486,27,2,590,3,2
"1133050",2487,30,1,464,4,2
"1133051",2488,13,0,229,1,0
"1133052",2489,35,5,603,3,1
"1133053",2490,59,4,653,3,1
"1133054",2491,56,2,1221,4,2
"1133055",2492,87,3,1096,5,0
"1133056",2493,79,3,1069,8,3
"1133057",2494,99,5,893,9,1
"1133058",2495,47,2,770,4,2
"1133059",2496,21,2,470,4,0
"1133060",2497,23,1,525,1,0
"1133061",2498,19,3,402,1,0
"1133062",2499,49,4,649,9,1
"1133063",2500,79,5,1098,11,5
"1133064",2501,48,2,1019,2,0
"1133065",2502,37,2,736,6,1
"1133066",2503,39,1,581,4,0
"1133067",2504,37,2,529,1,0
"1133068",2505,88,7,1309,6,3
"1133069",2506,35,3,563,5,1
"1133070",2507,65,4,931,7,0
"1133071",2508,46,6,791,5,1
"1133072",2509,2,0,13,0,0
"1133073",2510,7,1,61,1,0
"1133074",2511,54,0,163,1,0
"1133075",2512,14,0,61,0,0
"1133076",2513,0,0,0,0,0
"1133077",2514,304,7,1106,7,2
"1133078",2515,183,7,902,15,6
"1133079",2516,56,0,131,1,0
"1133080",2517,149,2,301,4,0
"1133081",2518,349,3,564,10,1
"1133082",2519,64,4,693,1,2
"1133083",2520,119,5,288,1,0
"1133084",2521,71,5,511,6,1
"1133085",2522,43,0,56,0,0
"1133086",2523,634,3,1087,25,1
"1133087",2524,0,0,0,0,0
"1133088",2525,9,0,26,0,0
"1133089",2526,54,0,17,0,0
"1133090",2527,96,0,510,4,0
"1133091",2528,0,0,0,0,0
"1133092",2529,46,2,446,2,0
"1133093",2530,1,0,1,0,0
"1133094",2531,0,0,0,0,0
"1133095",2532,316,3,851,11,1
"1133096",2533,283,3,938,13,1
"1133097",2534,4,0,65,0,0
"1133098",2535,1,0,76,0,0
"1133099",2536,9,1,102,1,0
"11330a4",2537,0,0,0,0,0
"11330a6",2538,0,0,0,0,0
"11330c4",2539,0,0,0,0,0
"11330t4",2540,1,0,1,0,0
"11330t6",2541,0,0,0,0,0
"1133100",2542,308,3,854,8,2
"1133101",2543,144,2,386,8,0
"1133102",2544,202,3,922,14,4
"1133103",2545,279,6,1193,10,3
"1133104",2546,287,11,987,5,1
"1133105",2547,373,3,881,5,2
"1133106",2548,309,10,1286,12,1
"1133107",2549,177,10,1043,9,2
"1133108",2550,540,3,728,7,2
"1133109",2551,909,4,1226,18,2
"1133110",2552,217,9,1248,11,1
"1133111",2553,4,0,1,0,0
"1133112",2554,11,0,23,0,0
"1133113",2555,0,0,0,0,0
"1133114",2556,2,0,2,0,0
"1133115",2557,223,5,828,6,1
"1133116",2558,0,0,1,0,0
"1133117",2559,2,0,8,0,0
"1133119",2560,0,0,0,0,0
"11331a4",2561,0,0,0,0,0
"11331a5",2562,0,0,0,0,0
"1133200",2563,567,4,765,10,1
"1133201",2564,357,5,497,2,3
"1133202",2565,279,3,795,5,2
"1133203",2566,320,1,634,6,2
"1133204",2567,398,8,653,12,1
"1133205",2568,108,4,663,5,0
"1133206",2569,582,3,715,10,6
"1133207",2570,485,6,688,7,4
"1133208",2571,219,2,483,3,0
"1133209",2572,50,0,41,4,0
"1133210",2573,397,3,586,5,2
"1133211",2574,151,3,297,3,0
"11332a0",2575,0,0,0,0,0
"11332a1",2576,0,0,0,0,0
"11332c1",2577,0,0,0,0,0
"11332t0",2578,0,0,2,0,0
"11332t1",2579,0,0,0,0,0
"1133304",2580,585,7,669,13,0
"1133305",2581,794,4,939,16,1
"1133306",2582,264,4,319,6,1
"1133307",2583,220,4,377,4,2
"1133308",2584,303,7,452,6,2
"1133309",2585,422,8,501,5,0
"1133310",2586,505,11,549,13,0
"1133311",2587,466,5,436,3,1
"1133312",2588,595,4,823,13,1
"1133313",2589,529,6,982,17,0
"1133314",2590,505,13,1020,18,2
"1133315",2591,171,2,277,5,1
"1133316",2592,504,4,706,6,0
"1133317",2593,308,1,817,6,1
"1133318",2594,267,4,480,5,1
"1133319",2595,7,0,43,3,0
"1133321",2596,0,0,0,0,0
"1133325",2597,183,2,685,8,0
"1133327",2598,0,0,4,0,0
"1133328",2599,7,0,10,0,0
"1133500",2600,1439,2,775,25,2
"1133501",2601,4,0,1,0,0
"1133503",2602,486,1,212,6,0
"1133504",2603,356,1,156,4,1
"1133600",2604,190,4,973,4,2
"1133601",2605,252,4,1019,5,1
"1133602",2606,66,1,353,2,1
"1133603",2607,37,0,143,1,0
"1133604",2608,273,2,1085,10,3
"1133605",2609,156,2,830,6,0
"1133606",2610,111,5,1005,6,3
"1133607",2611,236,8,1932,10,3
"1133608",2612,131,5,1606,8,3
"1133609",2613,273,4,1454,9,4
"1133610",2614,69,2,166,3,2
"1133611",2615,152,1,394,3,0
"1133612",2616,235,4,1348,10,2
"1133613",2617,79,2,193,2,0
"1133614",2618,46,1,355,1,1
"1133615",2619,147,1,1094,9,2
"1133616",2620,36,2,272,0,1
"1133617",2621,76,5,1141,6,2
"1133618",2622,35,0,346,1,0
"1133619",2623,33,1,53,0,0
"1133620",2624,82,1,613,5,0
"1133621",2625,48,1,269,1,0
"1133701",2626,3,0,0,0,0
"1133702",2627,0,0,0,0,0
"1133800",2628,141,4,1962,9,4
"1133801",2629,23,1,89,0,0
"1133802",2630,149,4,1376,12,3
"1133803",2631,120,5,1241,11,4
"1133805",2632,142,5,1874,12,6
"1133806",2633,30,1,420,2,0
"1133807",2634,137,5,999,9,2
"1133808",2635,586,5,1397,16,2
"1133809",2636,32,0,108,2,1
"1133900",2637,232,4,1142,9,3
"1133920",2638,578,5,361,4,0
"1133921",2639,812,9,1064,19,4
"1133922",2640,5,0,22,0,0
"1133940",2641,233,5,563,7,1
"1133950",2642,206,3,608,2,2
"1133951",2643,163,7,1215,11,2
"1133952",2644,13,0,56,0,0
"1133960",2645,991,5,832,23,1
"1133961",2646,700,6,673,13,2
"1133962",2647,1295,6,1226,28,2
"1133963",2648,696,2,527,12,1
"1133964",2649,510,1,579,6,0
"1133965",2650,812,3,815,22,0
"1133966",2651,854,7,861,16,1
"1133967",2652,362,3,356,9,0
"1133968",2653,968,5,942,20,2
"1133969",2654,1115,5,616,16,3
"1133970",2655,1158,8,802,20,2
"1133971",2656,664,4,654,12,0
"1133980",2657,960,3,772,22,0
"1133981",2658,559,1,308,5,0
"1133982",2659,1155,5,760,12,2
"1133983",2660,738,3,500,10,0
"1133984",2661,415,2,292,6,2
"1134000",2662,33,0,77,2,0
"1134001",2663,114,1,362,6,1
"1134002",2664,213,2,407,5,1
"1134003",2665,11,0,65,0,0
"1134004",2666,189,5,591,12,0
"1134005",2667,120,1,253,4,0
"1134006",2668,250,2,494,7,1
"1134007",2669,41,0,84,1,0
"1134008",2670,24,1,119,1,0
"1134009",2671,81,7,418,2,0
"1134010",2672,276,0,520,7,0
"1134011",2673,73,1,246,6,1
"1134012",2674,19,0,26,0,0
"1134013",2675,119,1,104,1,0
"1134014",2676,734,3,665,21,2
"1134015",2677,210,3,575,6,3
"1134016",2678,176,1,655,8,1
"1134017",2679,80,0,207,3,1
"1134018",2680,262,1,414,6,0
"1134019",2681,176,2,989,11,1
"1134020",2682,82,7,336,4,0
"1134021",2683,187,3,1177,6,2
"1134022",2684,80,2,492,5,0
"1134023",2685,0,0,0,0,0
"1134024",2686,81,2,520,4,3
"1134025",2687,1,1,107,1,0
"1134026",2688,6,0,38,0,0
"1134027",2689,16,1,72,1,0
"1134028",2690,30,2,276,1,1
"1134029",2691,2,0,3,0,0
"1134030",2692,0,0,5,0,0
"1134031",2693,75,1,684,13,1
"1134033",2694,191,3,641,10,1
"1134035",2695,62,4,507,6,1
"1134036",2696,33,2,236,2,1
"1134037",2697,13,0,74,0,0
"1134038",2698,82,3,673,5,1
"1134039",2699,11,0,165,2,0
"1134040",2700,12,3,233,1,0
"1134041",2701,23,0,174,1,0
"1134043",2702,44,1,336,1,1
"1134044",2703,31,0,260,1,0
"1134046",2704,32,3,287,1,1
"1134047",2705,18,0,206,0,1
"1134048",2706,0,0,0,0,0
"1134049",2707,0,0,0,0,0
"1134050",2708,449,4,1536,20,5
"1134051",2709,0,0,0,0,0
"1134052",2710,442,6,1223,6,1
"1134053",2711,46,0,129,3,0
"1134054",2712,22,1,129,0,0
"1134055",2713,204,7,685,7,0
"1134056",2714,133,1,757,7,1
"1134057",2715,118,4,468,2,1
"1134058",2716,70,1,274,3,0
"1134059",2717,25,3,101,0,0
"1134060",2718,157,1,570,3,0
"1134061",2719,140,4,544,5,0
"1134062",2720,102,8,450,3,2
"1134063",2721,226,5,1034,8,5
"1134065",2722,62,0,153,5,0
"1134066",2723,89,0,232,2,0
"1134067",2724,141,3,590,3,2
"1134068",2725,153,4,587,4,0
"1134069",2726,226,14,967,12,2
"1134070",2727,98,1,410,3,0
"1134071",2728,20,1,81,0,0
"1134072",2729,13,0,74,0,0
"1134073",2730,159,8,635,8,0
"1134074",2731,255,6,1240,21,4
"1134075",2732,59,5,482,6,2
"1134076",2733,183,8,733,8,0
"1134077",2734,82,4,461,6,1
"1134078",2735,142,0,755,12,0
"1134079",2736,570,4,1945,27,2
"1134080",2737,179,0,341,5,1
"1134081",2738,176,12,740,5,0
"1134082",2739,122,2,734,7,1
"1134083",2740,86,0,508,3,2
"1134084",2741,30,2,172,3,0
"1134085",2742,77,2,220,0,0
"1134086",2743,198,3,845,1,0
"1134087",2744,44,0,173,2,0
"1134088",2745,13,0,82,0,0
"1134090",2746,15,0,17,0,0
"1134091",2747,0,0,0,0,0
"1134092",2748,20,0,59,3,0
"1134093",2749,0,1,22,0,0
"1134094",2750,67,0,153,3,0
"1134095",2751,10,0,15,0,0
"1134096",2752,3,0,0,0,0
"1134097",2753,118,0,332,4,1
"1134098",2754,11,1,14,0,0
"1134099",2755,368,1,411,12,1
"11340a2",2756,0,0,0,0,0
"11340a3",2757,0,0,0,0,0
"1134100",2758,2,0,14,0,0
"1134101",2759,0,0,24,0,0
"1134107",2760,2,0,31,0,0
"1134108",2761,0,0,17,0,0
"1134109",2762,0,0,14,0,0
"1134110",2763,15,0,269,1,0
"1134111",2764,30,0,83,0,0
"1134112",2765,29,1,13,0,0
"1134113",2766,171,4,482,0,2
"1134114",2767,104,5,406,1,0
"1134115",2768,53,0,169,2,0
"1134116",2769,0,0,0,0,0
"1134117",2770,5,1,4,0,0
"1134118",2771,0,0,0,0,0
"1134119",2772,0,0,0,0,0
"1134120",2773,19,0,118,1,0
"1134122",2774,0,0,0,0,0
"1134125",2775,0,0,0,0,0
"1134126",2776,593,1,460,10,3
"1134127",2777,200,0,121,6,1
"1134128",2778,505,0,358,12,2
"1134129",2779,803,4,428,20,1
"1134130",2780,599,5,565,15,0
"1134131",2781,88,1,686,3,1
"1134135",2782,117,2,537,4,0
"1134141",2783,20,0,78,0,0
"1134143",2784,0,0,34,0,0
"1134145",2785,0,0,0,0,0
"1134147",2786,4,0,10,0,0
"1134149",2787,4,0,33,2,0
"1134152",2788,0,0,0,0,0
"1134153",2789,11,1,57,0,0
"1134157",2790,20,2,56,0,0
"1134161",2791,66,0,251,2,0
"1134166",2792,0,0,0,0,0
"11341a1",2793,0,0,0,0,0
"1134300",2794,133,4,350,1,0
"1134500",2795,408,3,664,5,0
"1134501",2796,410,3,583,10,0
"1134502",2797,536,3,1041,8,0
"1134503",2798,571,2,1421,11,4
"1134504",2799,221,1,330,8,3
"1134505",2800,349,4,495,8,0
"1134506",2801,238,4,298,3,1
"1134507",2802,38,2,257,1,0
"1134508",2803,71,1,113,1,0
"1134509",2804,330,1,262,9,0
"1134510",2805,275,2,440,2,1
"1134511",2806,299,10,336,6,2
"1134512",2807,250,1,185,6,0
"1134513",2808,297,3,515,7,0
"1134514",2809,270,1,276,5,1
"1134515",2810,234,7,376,7,0
"1134516",2811,1,0,3,0,0
"1134517",2812,849,7,744,21,1
"1134518",2813,267,4,383,2,1
"1134519",2814,693,6,998,10,0
"1134520",2815,125,1,232,2,0
"1134521",2816,845,13,1128,23,4
"1134522",2817,545,0,1095,14,3
"1134523",2818,111,2,235,5,0
"1134525",2819,162,5,313,1,1
"1134527",2820,184,1,288,8,0
"1134528",2821,0,0,0,0,0
"1134529",2822,150,0,187,2,0
"1134530",2823,10,2,55,2,1
"1134531",2824,140,1,93,0,1
"1134532",2825,57,1,62,0,0
"1134533",2826,142,3,255,2,0
"1134534",2827,11,0,23,0,0
"1134535",2828,97,2,191,0,1
"1134536",2829,8,0,12,0,0
"1134537",2830,0,0,3,0,0
"1134538",2831,97,4,187,0,1
"1134539",2832,0,0,0,0,0
"1134541",2833,0,0,0,0,0
"1134542",2834,0,0,0,0,0
"1134554",2835,2,0,13,0,0
"1134555",2836,14,0,4,0,0
"1134557",2837,0,0,0,0,0
"1134558",2838,0,0,0,0,0
"1134559",2839,0,0,0,0,0
"1134600",2840,514,6,521,9,3
"1134601",2841,880,2,871,24,1
"1134602",2842,373,3,433,7,0
"1134603",2843,6,0,11,0,0
"1134604",2844,531,7,656,3,2
"1134605",2845,471,3,518,6,2
"1134606",2846,466,2,537,13,1
"1134607",2847,243,2,354,7,1
"1134608",2848,447,5,877,14,0
"1134609",2849,143,3,427,8,0
"1134610",2850,535,6,461,15,1
"1134611",2851,299,3,359,10,1
"1134612",2852,69,0,74,0,0
"1134613",2853,80,1,168,2,0
"1134614",2854,180,0,93,1,1
"1134615",2855,26,0,45,0,0
"1134616",2856,173,2,275,8,1
"1134617",2857,42,2,52,0,0
"1134618",2858,87,2,100,1,1
"1134619",2859,371,4,311,6,0
"1134620",2860,336,4,357,10,1
"1134621",2861,312,2,901,14,0
"1134622",2862,361,3,425,4,3
"1134623",2863,375,2,560,12,1
"1134624",2864,351,1,339,14,0
"1134625",2865,520,4,524,12,0
"1134626",2866,769,4,658,13,3
"1134627",2867,790,2,1177,14,3
"1134628",2868,150,3,400,6,0
"1134629",2869,172,1,238,2,0
"1134630",2870,391,1,342,4,1
"1134631",2871,296,2,325,4,2
"1134632",2872,235,4,537,7,0
"1134633",2873,101,3,255,1,0
"1134634",2874,816,1,951,19,3
"1134639",2875,73,0,132,1,0
"1134640",2876,315,0,648,7,4
"1134641",2877,81,0,136,2,0
"1134642",2878,24,1,24,0,0
"1134644",2879,0,0,3,0,0
"1134646",2880,92,0,116,2,0
"1134648",2881,199,1,559,13,0
"1134649",2882,8,0,9,0,0
"1134651",2883,5,0,10,0,0
"1134652",2884,89,0,143,0,1
"1134653",2885,8,0,13,0,0
"1134654",2886,163,6,221,9,0
"1134655",2887,23,0,9,0,0
"1134656",2888,8,0,39,1,0
"1134657",2889,4,0,14,0,0
"1134658",2890,13,0,22,0,1
"1134659",2891,31,1,53,1,0
"1134660",2892,4,0,10,0,0
"1134661",2893,82,2,177,5,1
"1134662",2894,49,1,82,2,0
"1134663",2895,0,0,0,0,0
"1134664",2896,198,1,237,9,0
"1134665",2897,0,0,0,0,0
"1134667",2898,0,0,0,0,0
"1134673",2899,0,0,0,0,0
"1134674",2900,0,0,0,0,0
"1134675",2901,16,1,13,1,0
"1134677",2902,72,1,170,4,0
"1134678",2903,21,1,54,1,0
"1150001",2904,258,3,82,3,0
"1150002",2905,268,2,101,1,0
"1150003",2906,634,3,100,3,0
"1150004",2907,614,1,87,6,0
"1150005",2908,78,0,10,2,0
"1150011",2909,72,0,6,0,0
"1150012",2910,41,0,7,1,0
"1150013",2911,71,0,6,0,0
"1150017",2912,52,0,3,1,0
"1170001",2913,442,5,134,3,0
"1170002",2914,360,2,177,1,0
"1170003",2915,1033,4,180,8,0
"1170004",2916,446,5,144,3,0
"1190001",2917,431,4,59,1,0
"1190003",2918,174,1,41,2,0
"1190004",2919,239,1,49,3,0
"1190005",2920,358,1,72,6,0
"1190007",2921,135,0,17,1,0
"1190009",2922,181,0,17,0,0
"1190010",2923,193,0,40,1,0
"1211000",2924,1622,5,306,20,0
"1211001",2925,738,2,141,12,0
"1211002",2926,73,0,24,2,0
"1211003",2927,936,5,208,9,0
"1211004",2928,1233,1,494,21,0
"1211005",2929,0,0,1,0,0
"1211006",2930,3,0,0,0,0
"1211007",2931,606,1,184,19,0
"1211008",2932,1696,7,428,23,0
"1211009",2933,90,1,19,1,0
