CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
"0150413",128,1203,482,143,0.0712788259958071
"0150414",129,1251,404,221,0.0748792270531401
"0150415",130,1533,470,273,0.0881720430107527
"0170001",131,967,319,348,0.0983606557377049
"0170002",132,1069,413,225,0.0904255319148936
"0170003",133,832,185,443,0.260606060606061
"0170004a",134,554,83,435,0.416666666666667
"0170004b",135,112,5,21,0.5
"0190101",136,1496,614,161,0.0721311475409836
"0190102",137,2373,1075,249,0.0757855822550832
"0190203",138,2036,846,247,0.100235849056604
"0190204",139,1623,666,226,0.103030303030303
"0190305",140,2621,1081,353,0.0650779101741522
"0190306",141,1333,650,87,0.0445468509984639
"0190407",142,1829,850,184,0.0629453681710214
"0190408",143,253,135,16,0.0757575757575758
"0190409",144,790,234,114,0.11063829787234
"0190410",145,486,280,27,0.0565371024734982
"0211001",146,263,126,15,0.078740157480315
"0211002",147,427,206,36,0.0686274509803922
"0211003",148,1611,781,166,0.0786082474226804
"0211004",149,1914,819,296,0.103194103194103
"0211005",150,832,361,88,0.0932203389830508
"0211006",151,2217,612,552,0.142857142857143
"0211007",152,1295,561,120,0.0791738382099828
"0211008",153,943,407,136,0.0849056603773585
"0211009",154,2004,778,357,0.0862290862290862
"0212010",155,645,238,53,0.0675105485232067
"0212011",156,1140,503,129,0.0840163934426229
"0212012",157,1072,463,91,0.0549450549450549
"0212013",158,2459,950,255,0.083245521601686
"0212014",159,2333,943,265,0.0489583333333333
"0212015",160,2813,1169,275,0.0516795865633075
"0212016",161,2088,950,150,0.0519618239660657
"0213017",162,2121,902,245,0.0725446428571429
"0213018",163,1418,631,89,0.0361067503924647
"0213019",164,2275,729,593,0.148611111111111
"0213020",165,2289,717,833,0.186797752808989
"0214021",166,2461,1071,344,0.097196261682243
"0214022",167,1939,772,332,0.128238341968912
"0214023",168,1048,433,96,0.0492957746478873
"0214024",169,1413,624,295,0.104838709677419
"0214025",170,1851,694,592,0.140376266280753
"0214026",171,1702,636,366,0.163492063492063
"0230001",172,651,243,49,0.0323886639676113
"0230002",173,640,209,40,0.0485436893203883
"0230003",174,635,173,57,0.00606060606060606
"0230004",175,584,219,40,0.0454545454545455
"0250001",176,1980,648,1011,0.373493975903614
"0250002",177,505,217,211,0.3
"0250003",178,1707,438,843,0.408482142857143
"0250004",179,552,237,226,0.25
"0250005",180,901,407,360,0.346604215456674
"0250006",181,1183,406,603,0.479713603818616
"0250009",182,813,321,703,0.886567164179105
"0250010",183,1687,487,1364,0.841603053435115
"0250013",184,1364,483,738,0.42603550295858
"0250016",185,979,346,512,0.377840909090909
"0250017",186,1172,384,768,0.585858585858586
"0250018",187,1629,685,562,0.242647058823529
"0250019",188,654,169,536,0.842696629213483
"0270101",189,3898,1416,272,0.0479256080114449
"0270102",190,3518,1282,312,0.0551181102362205
"0270103",191,3173,786,691,0.0798969072164948
"0270104",192,2836,1023,227,0.0434782608695652
"0270105",193,1586,523,151,0.0519230769230769
"0270106",194,4015,810,562,0.0997506234413965
"0270107",195,579,158,130,0.0764331210191083
"0270108",196,1450,483,144,0.0497925311203319
"0270109",197,2779,565,419,0.124125874125874
"0270110",198,2526,105,262,0.0344827586206897
"0270111",199,2451,704,248,0.0695035460992908
"0270113",200,2981,927,532,0.0617551462621885
"0270114",201,2456,718,258,0.0735090152565881
"0270115",202,3484,1269,254,0.0461416070007955
"0270116",203,1525,316,230,0.10223642172524
"0270117",204,0,0,0,0
"0270201",205,2975,662,353,0.0606980273141123
"0270202",206,3741,1035,354,0.0813492063492064
"0270203",207,2708,1322,210,0.0354984894259819
"0270204",208,1838,344,289,0.0712166172106825
"0270205",209,5022,1091,765,0.0970149253731343
"0270206",210,2294,497,277,0.0905349794238683
"0270207",211,3233,553,478,0.134328358208955
"0270208",212,4292,917,663,0.0886917960088692
"0270209",213,3203,886,334,0.0855188141391106
"0270210",214,2003,519,241,0.0838095238095238
"0270211",215,932,180,117,0.0795454545454545
"0270212",216,881,239,78,0.0836820083682008
"0270213",217,3159,1538,136,0.036222509702458
"0270214",218,2569,684,330,0.0885341074020319
"0270215",219,3821,915,453,0.0855555555555556
"0270216",220,3010,783,311,0.0709592641261498
"0270301",221,3293,1079,333,0.0523897058823529
"0270302",222,4308,1261,525,0.0722795869737887
"0270303",223,4422,1254,663,0.0719424460431655
"0270304",224,317,100,38,0.0588235294117647
"0270305",225,2171,814,219,0.0614250614250614
"0270306",226,3236,481,761,0.121085594989562
"0270307",227,3612,589,727,0.11986301369863
"0270308",228,2991,901,312,0.0649064906490649
"0270309",229,1233,449,103,0.0526315789473684
"0270310",230,462,179,26,0.0497237569060773
"0270311",231,2579,962,186,0.0289855072463768
"0270312",232,1886,559,261,0.0766488413547237
"0270313",233,4139,1619,329,0.0535714285714286
"0270314",234,3112,733,487,0.0731034482758621
"0270315",235,2062,596,334,0.0813953488372093
"0270317",236,3438,1324,287,0.0562640660165041
"0270318",237,2626,766,332,0.086340206185567
"0270401",238,1862,526,220,0.0748560460652591
"0270402",239,2633,681,324,0.064327485380117
"0270404",240,4288,789,680,0.0962288686605982
"0270405",241,3878,544,618,0.0951456310679612
"0270406",242,3368,630,488,0.0804416403785489
"0270408",243,3769,712,554,0.106741573033708
"0270409",244,1365,436,160,0.0771028037383178
"0270410",245,3261,375,544,0.133333333333333
"0270412",246,3641,612,493,0.0935960591133005
"0270413",247,1899,323,250,0.0625
"0270414",248,3874,620,568,0.107491856677524
"0270415",249,3362,642,445,0.0987460815047022
"0270419",250,947,331,71,0.0479041916167665
"0291001",251,677,273,361,0.462093862815884
"0291002",252,623,180,306,0.414772727272727
"0291003",253,1566,388,1211,0.726063829787234
"0291004",254,887,187,756,0.881081081081081
"0291005",255,788,172,691,0.837209302325581
"0291006",256,2136,507,1936,0.906374501992032
"0291007",257,1287,395,1150,0.915384615384615
"0291008",258,1754,546,1034,0.462794918330309
"0291009",259,927,227,422,0.438818565400844
"0291010",260,628,143,474,0.613333333333333
"0291011",261,1058,218,930,0.852534562211982
"0291012",262,2078,595,1341,0.590361445783133
"0291013",263,2373,585,2124,0.890434782608696
"0291014",264,1348,244,1209,0.886075949367089
"0291015",265,1483,250,1363,0.946058091286307
"0291016",266,1164,209,1037,0.889423076923077
"0291017",267,210,62,114,0.46031746031746
"0291018",268,894,181,772,0.85
"0291019",269,761,153,575,0.694117647058824
"0291020",270,1574,392,1173,0.772609819121447
"0291021",271,1741,409,1530,0.875912408759124
"0291022",272,957,223,832,0.912844036697248
"0291023",273,2612,489,2413,0.925773195876289
"0291024",274,2876,795,1597,0.496863237139272
"0291025",275,731,83,666,0.927710843373494
"0291026",276,1340,302,1183,0.885135135135135
"0291027",277,74,18,35,0.45
"0291028",278,754,175,640,0.861271676300578
"0291029",279,1886,410,1652,0.880382775119617
"0291030",280,65,16,17,0.133333333333333
"0291031",281,1441,291,1274,0.85121107266436
"0291032",282,2478,439,2234,0.914027149321267
"0291033",283,1874,413,1218,0.561576354679803
"0291034",284,1984,630,685,0.3232
"0291035",285,731,52,74,0
"0291036",286,3168,860,1693,0.386946386946387
"0291037",287,2348,575,1570,0.594690265486726
"0291038",288,2547,666,1678,0.612855007473842
"0291039",289,2813,446,2296,0.759815242494226
"0291040",290,2843,641,2509,0.869701726844584
"0291041",291,2432,489,2140,0.883575883575884
"0291042",292,1256,267,1154,0.939393939393939
"0291043",293,1358,330,941,0.57910447761194
"0291044",294,2107,550,1900,0.905109489051095
"0291045",295,2612,631,2264,0.869767441860465
"0291046",296,1904,472,1647,0.880952380952381
"0291047",297,1734,400,1475,0.85969387755102
"0291048",298,2084,506,1727,0.798804780876494
"0291049",299,2415,577,2051,0.839059674502712
"0291050",300,786,189,619,0.677248677248677
"0291051",301,1916,515,1382,0.688109161793372
"0291052",302,1877,445,1384,0.660633484162896
"0291053",303,258,57,187,0.614035087719298
"0291054",304,2179,550,1705,0.769369369369369
"0291055",305,1773,587,847,0.454545454545455
"0291056",306,1988,423,1646,0.789227166276347
"0291057",307,1905,425,1088,0.42080378250591
"0291058",308,2308,514,1537,0.543137254901961
"0291059",309,271,47,210,0.595744680851064
"0291060",310,2561,480,2278,0.905660377358491
"0291061",311,2341,375,1829,0.7
"0291062",312,119,30,77,0.5
"0291063",313,1900,466,1222,0.504347826086956
"0291064",314,1169,273,783,0.503731343283582
"0291065",315,1901,580,1330,0.579310344827586
"0291066",316,674,126,510,0.6
"0291067",317,2558,672,1481,0.382753403933434
"0291068",318,300,48,214,0.416666666666667
"0291069",319,419,194,193,0.442708333333333
"0291070",320,1038,239,649,0.63135593220339
"0291071",321,1708,475,932,0.46723044397463
"0291072",322,1642,392,822,0.525906735751295
"0291073",323,2865,858,1002,0.310179640718563
"0291074",324,24,4,18,0.75
"0291075",325,1979,376,1507,0.702185792349727
"0291076",326,2748,798,1445,0.456273764258555
"0291077",327,1659,431,1457,0.89018691588785
"0291078",328,494,107,454,0.898148148148148
"0291079",329,2109,506,859,0.44311377245509
"0291080",330,1875,403,923,0.558897243107769
"0291081",331,1047,551,130,0.0669077757685353
"0291082",332,2392,546,1565,0.561467889908257
"0291083",333,2648,807,1198,0.403530895334174
"0291084",334,2071,438,1451,0.652873563218391
"0291085",335,1632,404,1088,0.59452736318408
"0291086",336,2229,692,1333,0.515107913669065
"0291087",337,1479,325,1042,0.614420062695925
"0291088",338,1004,235,917,0.92274678111588
"0291089",339,57,13,52,0.846153846153846
"0291090",340,0,1,0,0
"0291091",341,1742,401,1409,0.758620689655172
"0291092",342,715,122,594,0.816666666666667
"0291093",343,619,228,224,0.279816513761468
"0291094",344,1031,196,646,0.564102564102564
"0291095",345,287,22,36,0
"0291096",346,41,4,20,0.4
"0291097",347,763,173,672,0.853801169590643
"0291098",348,898,192,781,0.884210526315789
"0291099",349,2170,638,1123,0.489795918367347
"0291100",350,2398,679,1178,0.459821428571429
"0291101",351,1,1,0,0
"0291102",352,771,195,436,0.425742574257426
"0291103",353,625,194,214,0.323076923076923
"0291104",354,2971,953,1523,0.453191489361702
"0291105",355,345,80,238,0.670886075949367
"0291106",356,0,0,0,0
"0291107",357,2427,514,1670,0.594861660079051
"0291108",358,1734,581,618,0.328097731239092
"0291109",359,3,2,0,0
"0291110",360,1565,384,619,0.427461139896373
"0291111",361,3124,932,1514,0.404347826086957
"0291112",362,1635,352,968,0.54985754985755
"0291113",363,2014,589,614,0.27317880794702
"0291114",364,1,0,1,0
"0291115",365,1102,287,930,0.74468085106383
"0291116",366,959,306,379,0.322368421052632
"0291117",367,359,83,288,0.75
"0291118",368,606,159,220,0.331360946745562
"0291119",369,137,20,113,0.947368421052632
"0291120",370,137,20,126,0.904761904761905
"0291121",371,1585,499,690,0.319845857418112
"0291122a",372,1729,880,503,0.182217343578485
"0291122b",373,89,46,13,0.170212765957447
"0291123",374,467,130,289,0.5
"0291124",375,224,53,189,0.886792452830189
"0291125",376,966,306,372,0.326666666666667
"0291126",377,0,0,0,0
"0291127",378,601,108,528,0.858407079646018
"0291128",379,1294,230,703,0.4
"0291129",380,1009,290,290,0.308510638297872
"0291130",381,0,0,0,0
"0291131",382,0,0,0,0
"0291132",383,516,125,345,0.682926829268293
"0291133",384,4,0,0,0
"0291134",385,0,0,0,0
"0291135",386,0,0,0,0
"0291136",387,294,64,152,0.387096774193548
"0291137",388,0,0,0,0
"0291138",389,722,155,356,0.554838709677419
"0291139",390,980,207,629,0.55609756097561
"0291140",391,556,137,261,0.430656934306569
"0291141",392,667,161,300,0.426829268292683
"0291142",393,1274,276,758,0.550185873605948
"0291143",394,1160,355,395,0.322404371584699
"0291144",395,1260,570,104,0.205084745762712
"0291145",396,318,162,85,0.172619047619048
"0291146",397,168,42,103,0.523809523809524
"0291147",398,2135,519,1072,0.445544554455446
"0291148",399,343,73,178,0.571428571428571
"0291149",400,1503,428,813,0.48735632183908
"0291150",401,1318,321,570,0.41304347826087
"0291151",402,708,217,227,0.327354260089686
"0291152",403,1102,326,484,0.401869158878505
"0291153",404,203,50,79,0.254901960784314
"0291154a",405,953,487,245,0.186507936507937
"0291154b",406,36,18,10,0.1875
"0291154c",407,14,7,5,0.142857142857143
"0291155",408,1186,268,605,0.559701492537313
"0291156",409,2265,742,819,0.322359396433471
"0291157",410,1625,350,972,0.551428571428571
"0291158",411,498,108,308,0.556603773584906
"0291159",412,320,64,267,0.82258064516129
"0292001",413,745,99,625,0.86
"0292002",414,1210,290,1095,0.913194444444444
"0292003",415,2074,384,1921,0.873015873015873
"0292004",416,2653,497,2161,0.773279352226721
"0292005",417,898,261,715,0.741573033707865
"0292006",418,16,8,15,0.833333333333333
"0292007",419,1647,358,1534,0.916201117318436
"0292008",420,1086,233,991,0.905579399141631
"0292009",421,1728,329,697,0.356923076923077
"0292010",422,1491,414,634,0.396551724137931
"0292011",423,2060,428,1743,0.810096153846154
"0292012",424,1469,255,1350,0.901574803149606
"0292013",425,1160,322,965,0.840255591054313
"0292014",426,1176,316,975,0.781350482315113
"0292015",427,1865,312,1713,0.907051282051282
"0292016",428,1325,183,1234,0.935483870967742
"0292017",429,1204,182,1111,0.939226519337017
"0292018",430,1052,346,939,0.900584795321637
"0292019",431,1748,290,1592,0.908771929824561
"0292020",432,2386,440,1747,0.604166666666667
"0292021",433,2559,453,2304,0.908482142857143
"0292022",434,1549,285,1390,0.901360544217687
"0292023",435,2807,628,2267,0.805194805194805
"0292024",436,1666,410,1334,0.794044665012407
"0292025",437,2263,616,1740,0.762376237623762
"0292026",438,2019,719,1143,0.515492957746479
"0292027",439,1183,461,743,0.600877192982456
"0292028",440,2096,863,1302,0.586560364464693
"0292029",441,1245,253,1123,0.928
"0292030",442,1500,287,1364,0.879432624113475
"0292031",443,1501,267,1341,0.904942965779468
"0292032",444,478,116,433,0.887931034482759
"0292033",445,789,142,538,0.822695035460993
"0292034",446,1191,136,667,0.715328467153285
"0292035",447,1251,567,599,0.407279029462738
"0292036",448,1459,798,370,0.220149253731343
"0292037",449,1431,577,536,0.291666666666667
"0292038",450,1202,524,543,0.401904761904762
"0292039",451,1263,364,939,0.654696132596685
"0292040",452,2336,683,1634,0.683823529411765
"0292041",453,2659,707,2179,0.773121387283237
"0292042",454,1661,352,1380,0.830945558739255
"0292043",455,2219,334,1904,0.859281437125748
"0292044",456,2291,381,1974,0.815789473684211
"0292045",457,1069,443,671,0.636568848758465
"0292046",458,1773,757,1273,0.676354029062087
"0292047",459,1524,591,1050,0.662691652470187
"0292048",460,1638,296,1356,0.806896551724138
"0292049",461,2794,724,2081,0.693165969316597
"0292050",462,1719,563,1115,0.592857142857143
"0292051",463,518,130,252,0.507936507936508
"0292052",464,966,177,815,0.788571428571429
"0292053",465,1124,278,861,0.704626334519573
"0292054",466,1840,672,1052,0.468842729970326
"0292055",467,1699,591,262,0.182905982905983
"0292056",468,1319,353,1012,0.698863636363636
"0292057",469,2135,455,1786,0.787280701754386
"0292058",470,2081,487,1653,0.713097713097713
"0292059",471,2078,537,1560,0.719038817005545
"0292060",472,1325,382,899,0.660526315789474
"0292061",473,958,298,389,0.410169491525424
"0292062",474,1068,363,690,0.581267217630854
"0292063",475,1302,628,373,0.232227488151659
"0292064",476,2146,696,1340,0.602305475504323
"0292065a",477,1332,310,656,0.474025974025974
"0292065b",478,81,18,42,0.444444444444444
"0292066",479,3482,1350,1273,0.334564254062038
"0292067",480,266,91,174,0.549450549450549
"0292068",481,3784,1434,1598,0.391977480647431
"0292069",482,2506,593,1390,0.508503401360544
"0292070",483,2093,440,1900,0.908675799086758
"0292071",484,888,141,798,0.913669064748201
"0292072",485,2984,854,1374,0.387587822014052
"0292073",486,1177,325,789,0.627760252365931
"0292074",487,1133,159,1042,0.91875
"0292075",488,1085,201,862,0.847290640394089
"0292076",489,2198,732,958,0.381542699724518
"0292077",490,2110,752,953,0.413101604278075
"0292078",491,2327,552,1388,0.555160142348754
"0292079",492,679,109,618,0.930693069306931
"0292080",493,1295,320,856,0.590625
"0292081",494,810,235,536,0.591666666666667
"0292082",495,1391,373,923,0.585751978891821
"0292083",496,638,253,426,0.599206349206349
"0292084",497,3270,1473,940,0.252054794520548
"0292085",498,1305,392,930,0.66497461928934
"0292086",499,2884,955,1234,0.386722866174921
"0292087",500,1630,675,674,0.404255319148936
"0292088",501,3545,1041,1825,0.444227005870841
"0292089",502,517,88,470,0.932584269662921
"0292090",503,1681,326,837,0.525641025641026
"0292091",504,2534,612,1032,0.374581939799331
"0292092",505,489,136,221,0.402985074626866
"0292093",506,909,217,327,0.264150943396226
"0292094",507,144,97,7,0.0326086956521739
"0292095",508,2158,911,936,0.362430939226519
"0292096",509,1837,410,677,0.31328320802005
"0292097",510,2284,580,1244,0.490299823633157
"0292098",511,1265,294,815,0.567567567567568
"0292099",512,1345,463,450,0.290254237288136
"0292100",513,1283,321,819,0.614649681528662
"0292101",514,71,37,19,0.324324324324324
"0292102",515,2441,850,1025,0.385527876631079
"0292103",516,310,53,280,0.888888888888889
"0292104",517,217,55,168,0.701754385964912
"0292105",518,515,110,459,0.945454545454545
"0292106",519,514,92,268,0.457142857142857
"0292107",520,1620,373,774,0.481081081081081
"0292108",521,1096,483,336,0.287784679089027
"0292109",522,0,0,0,0
"0292110",523,325,143,145,0.335616438356164
"0292111",524,1040,261,580,0.511363636363636
"0292112",525,1626,600,829,0.485809682804674
"0292113",526,84,11,41,0.538461538461538
"0292114",527,2104,568,1231,0.502608695652174
"0292115",528,989,396,289,0.256658595641647
"0292116",529,0,1,0,0
"0292117",530,574,148,494,0.868421052631579
"0292118",531,25,4,20,1
"0292119",532,413,119,160,0.38135593220339
"0292120",533,343,134,127,0.235294117647059
"0292121",534,549,143,357,0.628571428571429
"0292122",535,1430,303,627,0.418439716312057
"0292123",536,1557,533,653,0.408045977011494
"0292124",537,571,277,237,0.436363636363636
"0292125",538,692,186,247,0.373684210526316
"0292126",539,1443,344,774,0.433234421364985
"0292127",540,2483,799,1056,0.370324189526185
"0292128",541,2081,302,1811,0.83
"0292129",542,0,0,0,0
"0292130",543,1733,576,822,0.451114922813036
"0292131",544,262,75,106,0.378378378378378
"0292132",545,3,2,0,0
"0292133",546,333,115,143,0.355932203389831
"0292134",547,1248,224,513,0.334801762114537
"0292135",548,660,142,438,0.554744525547445
"0292136",549,3612,1015,1423,0.363636363636364
"0292137",550,1060,353,487,0.398280802292264
"0292138",551,886,280,421,0.388888888888889
"0292139",552,1797,565,798,0.371024734982332
"0292140",553,1500,283,775,0.466192170818505
"0292141",554,1239,439,516,0.366515837104072
"0292142",555,607,115,298,0.428571428571429
"0292143",556,2114,731,926,0.369713506139154
"0292144",557,1705,606,889,0.480327868852459
"0292145",558,333,109,153,0.383928571428571
"0292146",559,81,13,39,0.272727272727273
"0292147",560,409,88,186,0.311111111111111
"0292148",561,3567,1000,1230,0.304259634888438
"0292149",562,1928,384,685,0.305555555555556
"0292150",563,8,1,6,0
"0292151",564,68,5,29,0.2
"0292152",565,626,130,452,0.664179104477612
"0292153",566,331,57,158,0.285714285714286
"0292154",567,1901,540,778,0.39010989010989
"0292155",568,0,1,0,0
"0292156",569,859,203,270,0.257731958762887
"0292157",570,0,2,0,0
"0292158",571,0,0,0,0
"0292159",572,208,56,100,0.606060606060606
"0292160",573,46,22,17,0.19047619047619
"0292161",574,206,87,44,0.238095238095238
"0292162",575,669,146,248,0.264285714285714
"0292163",576,2329,817,906,0.363636363636364
"0292164",577,1694,505,622,0.364891518737673
"0292165",578,2778,1031,957,0.3173828125
"0292166",579,1637,607,670,0.363486842105263
"0292167",580,6,1,1,1
"0292168",581,1506,457,550,0.307017543859649
"0292169",582,1535,674,680,0.421758569299553
"0292170",583,2956,988,1033,0.341589267285862
"0292171",584,1464,444,603,0.34841628959276
"0292172",585,371,129,188,0.43609022556391
"0292173",586,1452,524,533,0.329501915708812
"0292174",587,2293,905,785,0.306487695749441
"0292175",588,1259,324,370,0.217665615141956
"0292176",589,979,348,336,0.326470588235294
"0292177",590,0,0,0,0
"0292178",591,1011,418,723,0.636363636363636
"0292179",592,120,42,43,0.414634146341463
"0292180a",593,2223,516,1193,0.481481481481481
"0292180b",594,44,10,24,0.5
"0292181a",595,147,60,46,0.274193548387097
"0292181b",596,33,13,11,0.333333333333333
"0292181c",597,27,10,11,0.272727272727273
"0292181d",598,57,21,18,0.25
"0292181e",599,13,5,5,0
"0292181f",600,14,5,3,0.2
"0292181g",601,4,1,2,0
"0292182a",602,27,12,3,0.25
"0292182b",603,39,17,9,0.294117647058824
"0292182c",604,96,38,32,0.317073170731707
"0293001",605,2610,979,488,0.142131979695431
"0293002",606,1851,737,490,0.236559139784946
"0293003",607,1095,314,408,0.361290322580645
"0293004",608,0,0,0,0
"0293005",609,1092,471,195,0.183127572016461
"0293006",610,1044,523,321,0.245746691871456
"0293007",611,2550,859,595,0.204518430439952
"0293008",612,87,39,14,0.2
"0293009",613,11,8,0,0
"0293010",614,550,121,177,0.316239316239316
"0293011",615,1002,552,269,0.265454545454545
"0293012",616,604,269,129,0.181818181818182
"0293013",617,1754,739,657,0.336986301369863
"0293014",618,515,231,181,0.296943231441048
"0293015",619,1701,648,820,0.439137134052388
"0293016",620,0,0,0,0
"0293017",621,1579,850,182,0.1068524970964
"0293018",622,1683,1017,205,0.11439842209073
"0293019",623,0,0,0,0
"0293020",624,2477,1321,269,0.0866564417177914
"0293021",625,2339,1385,105,0.0286532951289398
"0293022",626,1517,747,215,0.115746971736205
"0293023",627,70,40,7,0.125
"0293024",628,0,0,0,0
"0293025",629,1634,861,173,0.102380952380952
"0293026",630,1476,806,139,0.0726817042606516
"0293027",631,1384,694,241,0.115328467153285
"0293028",632,1915,594,625,0.254606365159129
"0293029",633,1258,441,410,0.284064665127021
"0293030",634,2100,1043,303,0.115384615384615
"0293031",635,22,10,9,0.5
"0293032",636,23,10,5,0.2
"0293033",637,2057,940,324,0.11231101511879
"0293034",638,2589,1577,154,0.0546031746031746
"0293035",639,722,307,207,0.251655629139073
"0293036",640,3022,838,1030,0.297691373025516
"0293037",641,73,27,8,0.185185185185185
"0293038",642,1181,592,441,0.324232081911263
"0293039",643,3673,1240,715,0.179712460063898
"0293040",644,2073,824,619,0.242610837438424
