FIPSCode,FIPS_2Digit,State,JurisdictionName,D1a,D1Comments,D2a,D2b,D2c,D2d_Other,D2d,D2e,D2f,D2g_Other,D2g,D2Comments,D3a,D3Comments,D4a,D4b,D4c,D4d,D4e,D4f,D4Comments,D5,D5Comments,string_field_27,int64_field_28,int64_field_29,string_field_30
102500000,1,AL,CLARKE COUNTY,51,-888888,51,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
102700000,1,AL,CLAY COUNTY,25,-888888,25,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
102900000,1,AL,CLEBURNE COUNTY,14,-888888,14,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,62,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
103100000,1,AL,COFFEE COUNTY,30,-888888,30,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,201,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
103300000,1,AL,COLBERT COUNTY,17,-888888,17,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
103500000,1,AL,CONECUH COUNTY,29,-888888,29,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
103700000,1,AL,COOSA COUNTY,21,-888888,21,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
103900000,1,AL,COVINGTON COUNTY,25,-888888,25,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,162,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
104100000,1,AL,CRENSHAW COUNTY,18,-888888,18,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
104300000,1,AL,CULLMAN COUNTY,49,-888888,49,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
104500000,1,AL,DALE COUNTY,20,-888888,20,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
104700000,1,AL,DALLAS COUNTY,30,-888888,30,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
104900000,1,AL,DEKALB COUNTY,48,-888888,48,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
105100000,1,AL,ELMORE COUNTY,28,-888888,28,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
105300000,1,AL,ESCAMBIA COUNTY,30,-888888,30,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
105500000,1,AL,ETOWAH COUNTY,34,-888888,34,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,282,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
105700000,1,AL,FAYETTE COUNTY,28,-888888,28,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
105900000,1,AL,FRANKLIN COUNTY,20,-888888,20,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
106100000,1,AL,GENEVA COUNTY,30,-888888,30,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
106300000,1,AL,GREENE COUNTY,14,-888888,14,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,73,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
106500000,1,AL,HALE COUNTY,40,-888888,40,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
106700000,1,AL,HENRY COUNTY,29,-888888,29,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
106900000,1,AL,HOUSTON COUNTY,100,-888888,100,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,253,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
107100000,1,AL,JACKSON COUNTY,36,-888888,36,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,188,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
107300000,1,AL,JEFFERSON COUNTY,352,-888888,352,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,1901,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
107500000,1,AL,LAMAR COUNTY,25,-888888,25,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
107700000,1,AL,LAUDERDALE COUNTY,34,-888888,34,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
107900000,1,AL,LAWRENCE COUNTY,36,-888888,36,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,186,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
108100000,1,AL,LEE COUNTY,46,-888888,46,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
108300000,1,AL,LIMESTONE COUNTY,25,-888888,25,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,222,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
108500000,1,AL,LOWNDES COUNTY,15,-888888,15,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,63,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
108700000,1,AL,MACON COUNTY,15,-888888,15,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,118,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
108900000,1,AL,MADISON COUNTY,73,-888888,73,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
109100000,1,AL,MARENGO COUNTY,22,-888888,22,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
109300000,1,AL,MARION COUNTY,23,-888888,23,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
109500000,1,AL,MARSHALL COUNTY,47,-888888,47,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,248,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
109700000,1,AL,MOBILE COUNTY,90,-888888,90,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,1392,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
109900000,1,AL,MONROE COUNTY,76,-888888,76,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
110100000,1,AL,MONTGOMERY COUNTY,50,-888888,50,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,759,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
110300000,1,AL,MORGAN COUNTY,41,-888888,41,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,332,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
110500000,1,AL,PERRY COUNTY,15,-888888,15,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,90,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
110700000,1,AL,PICKENS COUNTY,24,-888888,24,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
110900000,1,AL,PIKE COUNTY,33,-888888,33,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,190,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
111100000,1,AL,RANDOLPH COUNTY,16,-888888,16,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,200,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
111300000,1,AL,RUSSELL COUNTY,17,-888888,17,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
111500000,1,AL,ST. CLAIR COUNTY,30,-888888,30,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
111700000,1,AL,SHELBY COUNTY,48,-888888,48,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,559,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
111900000,1,AL,SUMTER COUNTY,24,-888888,24,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,82,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
112100000,1,AL,TALLADEGA COUNTY,26,-888888,26,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
112300000,1,AL,TALLAPOOSA COUNTY,29,-888888,29,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,145,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
112500000,1,AL,TUSCALOOSA COUNTY,55,-888888,55,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,418,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
112700000,1,AL,WALKER COUNTY,46,-888888,46,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,281,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
112900000,1,AL,WASHINGTON COUNTY,31,-888888,31,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,89,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
113100000,1,AL,WILCOX COUNTY,36,-888888,36,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888,6,-888888,,,,
113300000,1,AL,WINSTON COUNTY,18,-888888,18,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable, ,-9999999, ,,,,
100100000,1,AL,AUTAUGA COUNTY,17, ,17,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available, ,-9999999, ,,,,
